planet,Study_area,win_start,n_months,truth_trend_cmyr
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2004,111,-0.9967598127208641
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2005,109,-1.0244177088809772
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2006,105,-1.593260887561086
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2007,101,-1.5232481823765522
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2008,92,-1.1510500099662209
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2009,88,-0.8395025280015155
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2010,88,-0.8390348615791677
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2011,89,-0.6547850581089296
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2012,91,-0.20318500995837807
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2013,94,-0.3283919862729468
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2014,97,-0.6392320352822557
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2015,99,-1.2434402150001764
pilot_uniform_depletion_v2,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2016,100,-2.216847747479253
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2002,114,-0.5316471956248937
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2003,113,-0.36408694592963214
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2004,111,-0.3998515177969485
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2005,109,-0.548158144864645
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2006,105,-0.7132006530138397
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2007,101,-0.7877089535500463
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2008,92,-0.84441422562124
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2009,88,-1.359655174179371
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2010,88,-1.9137106133486288
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2011,89,-1.809449519960907
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2012,91,-1.4580067957770702
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2013,94,-1.0999577321474077
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2014,97,-0.9991836312863329
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2015,99,-1.0680381387509565
pilot_uniform_depletion_v2,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2016,100,-1.1225949074866166
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2002,114,0.42320518834122084
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2003,113,0.4964258438799153
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2004,111,0.1843067898370346
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2005,109,-0.23729304827875006
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2006,105,-0.7200867860760147
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2007,101,-1.1285506694644125
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2008,92,-1.5050763195383912
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2009,88,-2.220533453427493
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2010,88,-2.832049245365601
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2011,89,-2.326942513982918
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2012,91,-1.7214111538626695
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2013,94,-0.8003747147099158
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2014,97,-0.5290257743666865
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2015,99,-0.40858526745903684
pilot_uniform_depletion_v2,Eastern Eromanga Basin (Great Artesian Basin),2016,100,-0.3300506061760947
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2002,114,0.15582410210948008
