aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
62,Eastside Lower Indus Valley (Indus Basin),2002,1920,0.689063,0.34846,True
63,Central Piedmont Upland (Piedmont Plateau),2002,1920,0.04375,-1.10092,True
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),2002,1920,0.198958,-0.542451,True
65,Jiangsu Coastal Plain (Huaihe River Basin),2002,1920,0.932292,0.829625,True
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2002,1920,0.564583,0.114621,True
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),2002,1920,0.370833,-0.130406,True
68,Eastside Middle Indus Plain (Indus Basin),2002,1920,0.691667,0.381778,True
69,Central Allegheny Plateau (Appalachian Plateaus),2002,1920,0.475,-0.111608,True
70,Northeastern Karoo Basin (Main Karoo Basin),2002,1920,0.382812,-0.100212,True
71,Southern Riverine Plains (Murray Basin),2002,1920,0.542708,0.0373536,True
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),2002,1920,0.242708,-0.474408,True
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2003,1920,0.639062,0.072596,True
1,Northern Guarani Aquifer (Guarani Aquifer System),2003,1920,0.692708,0.0905061,True
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),2003,1920,0.404687,-0.0533723,True
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2003,1920,0.146354,-0.327656,True
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2003,1920,0.621875,0.213732,True
5,Eastern Eromanga Basin (Great Artesian Basin),2003,1920,0.984375,1.01228,True
6,Northern Eromanga Basin (Great Artesian Basin),2003,1920,0.803125,0.453217,True
7,Northern High Plains (High Plains),2003,1920,0.790104,0.448203,True
8,Williston Basin (Northern Great Plains),2003,1920,0.589063,0.0887951,True
9,Central Eromanga Depocenter (Great Artesian Basin),2003,1920,0.996354,1.05612,True
10,Western Parecis Basin (Parecis Basin),2003,1920,0.486458,-0.00814313,True
11,Upper Gangetic Plain (Indo-Gangetic Plain),2003,1920,0.319792,-0.213299,True
12,Stampriet Kalahari Karoo Aquifer System,2003,1920,0.938021,0.809091,True
