aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2002,1920,0.298958,-0.188699,True
1,Northern Guarani Aquifer (Guarani Aquifer System),2002,1920,0.322917,-0.12601,True
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),2002,1920,0.149479,-0.476274,True
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2002,1920,0.235417,-0.339656,True
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2002,1920,0.428646,-0.0823164,True
5,Eastern Eromanga Basin (Great Artesian Basin),2002,1920,0.664583,0.267034,True
6,Northern Eromanga Basin (Great Artesian Basin),2002,1920,0.330208,-0.131281,True
7,Northern High Plains (High Plains),2002,1920,0.694271,0.37199,True
8,Williston Basin (Northern Great Plains),2002,1920,0.864583,0.48486,True
9,Central Eromanga Depocenter (Great Artesian Basin),2002,1920,0.639583,0.118491,True
10,Western Parecis Basin (Parecis Basin),2002,1920,0.065625,-0.409864,True
11,Upper Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.0916667,-0.586497,True
12,Stampriet Kalahari Karoo Aquifer System,2002,1920,0.879167,0.417243,True
13,Northcentral Mega Aquifer System (Mega Aquifer System),2002,1920,0.202604,-0.231993,True
14,Ozark Plateaus Aquifer System,2002,1920,0.385417,-0.133284,True
15,Western Karoo Basin (Main Karoo Basin),2002,1920,0.251563,-0.400442,True
16,Middle Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.438021,-0.0693945,True
17,Northern Mega Aquifer System (Mega Aquifer System),2002,1920,0.104167,-0.521956,True
18,Canning Basin,2002,1920,0.158333,-0.216739,True
19,Central Karoo Basin (Main Karoo Basin),2002,1920,0.0166667,-0.786673,True
20,Southern Carpentaria Basin (Great Artesian Basin),2002,1920,0.826562,0.225374,True
21,Eastern Parecis Basin (Parecis Basin),2002,1920,0.285417,-0.332683,True
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),2002,1920,0.552083,0.097721,True
23,Wiso Basin (Daly-Wiso-Georgina Basins),2002,1920,0.35,-0.224223,True
