aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
57,Eastern Mississippi Embayment (Mississippi Embayment),2008,1920,0.3260416666666667,-0.2659589734927369,True
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2008,1920,0.19947916666666668,-0.6571068038632142,True
59,Southeastern System (Amadeus Basin),2008,1920,0.4515625,-0.05840272608342186,True
60,Edwards Plateau (Edwards-Trinity Aquifer System),2008,1920,0.821875,0.7302303120114851,True
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),2008,1920,0.084375,-0.7081057200344522,True
62,Eastside Lower Indus Valley (Indus Basin),2008,1920,0.30833333333333335,-0.38348873978152886,True
63,Central Piedmont Upland (Piedmont Plateau),2008,1920,0.8020833333333334,0.5408487425550612,True
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),2008,1920,0.6671875,0.26722287385223364,True
65,Jiangsu Coastal Plain (Huaihe River Basin),2008,1920,0.7328125,0.28764082055712137,True
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2008,1920,0.1828125,-0.6218533817717166,True
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),2008,1920,0.07083333333333333,-0.7360475628618065,True
68,Eastside Middle Indus Plain (Indus Basin),2008,1920,0.10364583333333334,-0.46622677269595314,True
69,Central Allegheny Plateau (Appalachian Plateaus),2008,1920,0.7208333333333333,0.3340474431081816,True
70,Northeastern Karoo Basin (Main Karoo Basin),2008,1920,0.16354166666666667,-0.40826645358234903,True
71,Southern Riverine Plains (Murray Basin),2008,1920,0.4786458333333333,-0.05018211381695142,True
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),2008,1920,0.38125,-0.23948122539714944,True
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2009,1920,0.6567708333333333,0.2687364756829467,True
1,Northern Guarani Aquifer (Guarani Aquifer System),2009,1920,0.4203125,-0.0801654312051635,True
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),2009,1920,0.9557291666666666,0.9043501009283608,True
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2009,1920,0.2703125,-0.21606584635937848,True
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2009,1920,0.022395833333333334,-0.7885522015580033,True
5,Eastern Eromanga Basin (Great Artesian Basin),2009,1920,0.109375,-0.6749129910427683,True
6,Northern Eromanga Basin (Great Artesian Basin),2009,1920,0.5286458333333334,0.06370587116013005,True
7,Northern High Plains (High Plains),2009,1920,0.39739583333333334,-0.12899763055146957,True
8,Williston Basin (Northern Great Plains),2009,1920,0.1109375,-0.7981827792466694,True
9,Central Eromanga Depocenter (Great Artesian Basin),2009,1920,0.18541666666666667,-0.6239618158561022,True
10,Western Parecis Basin (Parecis Basin),2009,1920,1.0,1.2074422915112966,False
11,Upper Gangetic Plain (Indo-Gangetic Plain),2009,1920,0.28541666666666665,-0.38522127512260856,True
12,Stampriet Kalahari Karoo Aquifer System,2009,1920,0.0203125,-0.7484453755115654,True
13,Northcentral Mega Aquifer System (Mega Aquifer System),2009,1920,0.3828125,-0.14584066772053583,True
14,Ozark Plateaus Aquifer System,2009,1920,0.209375,-0.4624588401924171,True
15,Western Karoo Basin (Main Karoo Basin),2009,1920,0.5479166666666667,0.047334568673984584,True
16,Middle Gangetic Plain (Indo-Gangetic Plain),2009,1920,0.2296875,-0.5151791432298611,True
17,Northern Mega Aquifer System (Mega Aquifer System),2009,1920,0.4640625,-0.06002439918414883,True
18,Canning Basin,2009,1920,0.675,0.20743152775672027,True
19,Central Karoo Basin (Main Karoo Basin),2009,1920,0.26666666666666666,-0.2645153672504218,True
20,Southern Carpentaria Basin (Great Artesian Basin),2009,1920,0.15885416666666666,-0.31693274275769046,True
21,Eastern Parecis Basin (Parecis Basin),2009,1920,0.8166666666666667,0.5315314817579798,True
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),2009,1920,0.5395833333333333,0.04529864285354187,True
23,Wiso Basin (Daly-Wiso-Georgina Basins),2009,1920,0.22708333333333333,-0.433445206434963,True
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),2009,1920,0.2552083333333333,-0.4177338322095885,True
25,Dakota Aquifer System,2009,1920,0.03333333333333333,-0.9964749342002809,True
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),2009,1920,0.1484375,-0.3416291615457778,True
27,Trans Gangetic Plain (Indo-Gangetic Plain),2009,1920,0.4484375,-0.08856168851387572,True
28,Southcentral Mega Aquifer System (Mega Aquifer System),2009,1920,0.32916666666666666,-0.2654166176052898,True
29,Central Mississippi Embayment (Mississippi Embayment),2009,1920,0.49583333333333335,-0.0044857484302932875,True
30,Northern Karoo Basin (Main Karoo Basin),2009,1920,0.2859375,-0.25921695958711677,True
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),2009,1920,0.21510416666666668,-0.5595484640991684,True
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),2009,1920,0.30364583333333334,-0.19417752698982407,True
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2009,1920,0.06197916666666667,-1.0311618496484363,True
34,Central Huaihe Plain (Huaihe River Basin),2009,1920,0.45416666666666666,-0.06291576623730093,True
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,2009,1920,0.0,-1.3727892766935648,False
36,Southern High Plains (High Plains),2009,1920,0.890625,0.6695908371710132,True
37,Southcentral Karoo Basin (Main Karoo Basin),2009,1920,0.3494791666666667,-0.1909570799428535,True
38,Central High Plains (High Plains),2009,1920,0.578125,0.09180318030708565,True
39,Lower Liaohe River Plain (Liaohe River Basin),2009,1920,0.35572916666666665,-0.21739337594407498,True
40,Wadi As-Sirhan Basin,2009,1920,0.6447916666666667,0.17598843656570312,True
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),2009,1920,0.690625,0.23016074501518718,True
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),2009,1920,0.6921875,0.36746551140855177,True
43,Wisconsin Precambrian Aquifer,2009,1920,0.4630208333333333,-0.04362732755784039,True
44,Lafayette Area (Gulf Coast Regional Aquifer System),2009,1920,0.8989583333333333,0.8091250197163693,True
45,Paskapoo-Scollard,2009,1920,0.38125,-0.21466854049846767,True
46,Western Surat Basin (Great Artesian Basin),2009,1920,0.31197916666666664,-0.4969303999978695,True
47,Coonamble Embayment (Great Artesian Basin),2009,1920,0.10572916666666667,-0.6205346767012113,True
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),2009,1920,0.2682291666666667,-0.7048487426839777,True
49,Wuyuer-Shuangyang System (Songnen Plain),2009,1920,0.5302083333333333,0.08803445355643916,True
50,Powder River Basin (Northern Great Plains),2009,1920,0.18854166666666666,-0.6079982097856826,True
51,Central Eucla Basin (Eucla Basin),2009,1920,0.671875,0.1982014608783092,True
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),2009,1920,0.8947916666666667,0.6908854513626346,True
53,Michigan Basin,2009,1920,0.6114583333333333,0.14965941013981798,True
54,Southern Piedmont Upland (Piedmont Plateau),2009,1920,0.6625,0.25428960621876007,True
55,Eastern Huaihe Plain (Huaihe River Basin),2009,1920,0.725,0.2752139331393505,True
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2009,1920,0.06666666666666667,-1.045709991256031,True
57,Eastern Mississippi Embayment (Mississippi Embayment),2009,1920,0.5145833333333333,0.01832272504926627,True
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2009,1920,0.40729166666666666,-0.18671759249257597,True
59,Southeastern System (Amadeus Basin),2009,1920,0.06666666666666667,-0.647926074442537,True
60,Edwards Plateau (Edwards-Trinity Aquifer System),2009,1920,0.8958333333333334,0.7573214174139893,True
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),2009,1920,0.06666666666666667,-0.9127412802362759,True
62,Eastside Lower Indus Valley (Indus Basin),2009,1920,0.15625,-0.5494029486878997,True
63,Central Piedmont Upland (Piedmont Plateau),2009,1920,0.7166666666666667,0.3039472547786556,True
