tier,space,n_recipes,n_aquifers,spans_zero_pct,paradox05_pct,paradox10_pct,r1_est,r1_lo,r1_hi,sa_est,sa_lo,sa_hi
Tier 1 (73),Full,1920,73,76.7123287671233,63.013698630137,54.7945205479452,0.346646321060833,0.285745740695349,0.42311395882183,0.46293041238357,0.378694561344402,0.566489121922784
Tier 1 (73),Recommended,360,73,54.7945205479452,46.5753424657534,39.7260273972603,0.155531878182836,0.00619301999870521,0.242522897713045,0.269399558677156,0.00640771217637648,0.358110034937891
Tier 1 (73),Published (compatible),1920,73,76.7123287671233,63.013698630137,54.7945205479452,0.346646321060833,0.285745740695349,0.42311395882183,0.46293041238357,0.378694561344402,0.566489121922784
Tier 1 (73),Published (attested),84,73,36.986301369863,35.6164383561644,32.8767123287671,0.0942980368897782,0.0798663984862785,0.122353993426503,0.144320440240204,0.116697234938453,0.374967418047545
Tier 1+2 (276),Full,1920,276,82.6086956521739,68.8405797101449,59.7826086956522,0.34169747245182,0.303220460698822,0.392266134495375,0.486418646081848,0.408927546419266,0.598343945962443
Tier 1+2 (276),Recommended,360,276,63.768115942029,50.7246376811594,42.3913043478261,0.178454175469139,0.154960126248826,0.207918397155729,0.259150340691284,0.221216878181061,0.407787055047036
Tier 1+2 (276),Published (compatible),1920,276,82.6086956521739,68.8405797101449,59.7826086956522,0.34169747245182,0.303220460698822,0.392266134495375,0.486418646081848,0.408927546419266,0.598343945962443
Tier 1+2 (276),Published (attested),84,276,43.8405797101449,39.4927536231884,35.5072463768116,0.128221544029364,0.115696415027994,0.142353704513357,0.217383460691306,0.169127736164919,0.337349955265474
