window,tier,n_aquifers,spans_zero_pct,paradox10_pct,r1_est,r1_lo,r1_hi
GRACE-only (2002-2017),Tier 1 (73),73,73.972602739726,45.2054794520548,0.342233301510609,0.272230388859355,0.406254034001617
GRACE-only (2002-2017),Tier 1+2 (276),276,81.1594202898551,56.1594202898551,0.397945049323924,0.345698035401,0.459187883358419
GRACE-FO (2018-2025),Tier 1 (73),73,26.027397260274,12.3287671232877,0.461362498673667,0.35943012337157,0.575823903771466
GRACE-FO (2018-2025),Tier 1+2 (276),276,41.6666666666667,22.1014492753623,0.575114336559265,0.530309955546244,0.620471934998342
Full mission (2002-2025),Tier 1 (73),73,76.7123287671233,54.7945205479452,0.346646321060833,0.285745740695349,0.42311395882183
Full mission (2002-2025),Tier 1+2 (276),276,82.6086956521739,59.7826086956522,0.34169747245182,0.303220460698822,0.392266134495375
