recipe_id,acc_select,acc_holdout
CSR_355,1,0.791666666666667
CSR_356,1,0.833333333333333
CSR_357,1,0.833333333333333
CSR_358,1,0.791666666666667
CSR_359,1,0.791666666666667
CSR_421,1,0.708333333333333
CSR_423,1,0.75
CSR_480,1,0.708333333333333
CSR_481,1,0.666666666666667
CSR_482,1,0.708333333333333
CSR_483,1,0.708333333333333
CSR_484,1,0.708333333333333
CSR_485,1,0.708333333333333
CSR_486,1,0.708333333333333
CSR_487,1,0.708333333333333
CSR_491,1,0.833333333333333
CSR_493,1,0.833333333333333
CSR_494,1,0.833333333333333
CSR_495,1,0.833333333333333
CSR_512,1,0.708333333333333
CSR_514,1,0.708333333333333
CSR_516,1,0.708333333333333
CSR_518,1,0.708333333333333
CSR_522,1,0.833333333333333
CSR_525,1,0.833333333333333
CSR_526,1,0.833333333333333
GFZ_192,1,0.791666666666667
GFZ_193,1,0.75
GFZ_194,1,0.75
GFZ_196,1,0.875
GFZ_197,1,0.791666666666667
GFZ_198,1,0.791666666666667
GFZ_199,1,0.791666666666667
GFZ_352,1,0.708333333333333
GFZ_353,1,0.708333333333333
GFZ_354,1,0.708333333333333
GFZ_357,1,0.75
GFZ_416,1,0.666666666666667
GFZ_417,1,0.666666666666667
GFZ_418,1,0.666666666666667
GFZ_419,1,0.666666666666667
GFZ_420,1,0.666666666666667
GFZ_421,1,0.666666666666667
GFZ_422,1,0.666666666666667
GFZ_423,1,0.666666666666667
GFZ_480,1,0.708333333333333
GFZ_481,1,0.708333333333333
GFZ_482,1,0.75
GFZ_483,1,0.666666666666667
GFZ_484,1,0.75
GFZ_485,1,0.75
GFZ_486,1,0.75
GFZ_487,1,0.708333333333333
JPL_480,1,0.708333333333333
JPL_482,1,0.708333333333333
JPL_484,1,0.75
JPL_486,1,0.791666666666667
CSR_105,0.96,0.833333333333333
CSR_107,0.96,0.833333333333333
CSR_108,0.96,0.791666666666667
CSR_109,0.96,0.791666666666667
CSR_110,0.96,0.791666666666667
CSR_111,0.96,0.791666666666667
CSR_134,0.96,0.791666666666667
CSR_135,0.96,0.791666666666667
CSR_161,0.96,0.666666666666667
CSR_162,0.96,0.666666666666667
CSR_163,0.96,0.666666666666667
CSR_164,0.96,0.708333333333333
CSR_165,0.96,0.666666666666667
CSR_166,0.96,0.708333333333333
CSR_167,0.96,0.708333333333333
CSR_168,0.96,0.875
CSR_169,0.96,0.875
CSR_170,0.96,0.875
CSR_171,0.96,0.875
CSR_172,0.96,0.875
CSR_173,0.96,0.875
CSR_174,0.96,0.875
CSR_175,0.96,0.875
CSR_177,0.96,0.833333333333333
CSR_178,0.96,0.833333333333333
CSR_179,0.96,0.833333333333333
CSR_181,0.96,0.833333333333333
CSR_182,0.96,0.833333333333333
CSR_183,0.96,0.833333333333333
CSR_185,0.96,0.833333333333333
CSR_187,0.96,0.875
CSR_196,0.96,0.75
CSR_198,0.96,0.791666666666667
CSR_204,0.96,0.916666666666667
CSR_206,0.96,0.916666666666667
CSR_352,0.96,0.791666666666667
CSR_353,0.96,0.75
CSR_354,0.96,0.833333333333333
CSR_361,0.96,0.875
CSR_363,0.96,0.875
CSR_365,0.96,0.875
CSR_366,0.96,0.875
CSR_367,0.96,0.875
CSR_384,0.96,0.708333333333333
CSR_385,0.96,0.666666666666667
CSR_386,0.96,0.75
CSR_387,0.96,0.75
CSR_388,0.96,0.75
CSR_389,0.96,0.75
CSR_39,0.96,0.791666666666667
CSR_390,0.96,0.75
CSR_391,0.96,0.75
CSR_392,0.96,0.833333333333333
CSR_393,0.96,0.875
CSR_394,0.96,0.875
CSR_395,0.96,0.875
CSR_396,0.96,0.833333333333333
CSR_397,0.96,0.875
CSR_398,0.96,0.875
CSR_399,0.96,0.875
CSR_420,0.96,0.75
CSR_422,0.96,0.75
CSR_451,0.96,0.708333333333333
CSR_452,0.96,0.791666666666667
CSR_453,0.96,0.75
CSR_454,0.96,0.75
CSR_455,0.96,0.791666666666667
CSR_488,0.96,0.833333333333333
CSR_489,0.96,0.833333333333333
CSR_490,0.96,0.833333333333333
CSR_492,0.96,0.833333333333333
CSR_496,0.96,0.833333333333333
CSR_497,0.96,0.833333333333333
CSR_498,0.96,0.833333333333333
CSR_499,0.96,0.833333333333333
CSR_500,0.96,0.833333333333333
CSR_501,0.96,0.833333333333333
CSR_502,0.96,0.833333333333333
CSR_503,0.96,0.833333333333333
CSR_513,0.96,0.666666666666667
CSR_515,0.96,0.708333333333333
CSR_517,0.96,0.708333333333333
CSR_519,0.96,0.708333333333333
CSR_520,0.96,0.833333333333333
CSR_521,0.96,0.791666666666667
CSR_523,0.96,0.833333333333333
CSR_524,0.96,0.833333333333333
CSR_527,0.96,0.833333333333333
CSR_64,0.96,0.833333333333333
CSR_65,0.96,0.75
CSR_66,0.96,0.791666666666667
CSR_67,0.96,0.75
CSR_68,0.96,0.875
CSR_69,0.96,0.75
CSR_70,0.96,0.875
CSR_71,0.96,0.833333333333333
CSR_83,0.96,0.791666666666667
CSR_85,0.96,0.75
CSR_87,0.96,0.75
GFZ_132,0.96,0.75
GFZ_133,0.96,0.75
GFZ_160,0.96,0.708333333333333
GFZ_161,0.96,0.666666666666667
GFZ_162,0.96,0.666666666666667
GFZ_163,0.96,0.666666666666667
GFZ_164,0.96,0.708333333333333
GFZ_165,0.96,0.666666666666667
GFZ_166,0.96,0.708333333333333
GFZ_167,0.96,0.666666666666667
GFZ_168,0.96,0.833333333333333
GFZ_169,0.96,0.833333333333333
GFZ_170,0.96,0.833333333333333
GFZ_171,0.96,0.833333333333333
GFZ_172,0.96,0.875
GFZ_173,0.96,0.875
GFZ_174,0.96,0.875
GFZ_175,0.96,0.875
GFZ_181,0.96,0.833333333333333
GFZ_185,0.96,0.875
GFZ_195,0.96,0.75
GFZ_200,0.96,0.916666666666667
GFZ_201,0.96,0.916666666666667
GFZ_202,0.96,0.875
GFZ_203,0.96,0.916666666666667
GFZ_204,0.96,0.916666666666667
GFZ_205,0.96,0.916666666666667
GFZ_206,0.96,0.875
GFZ_207,0.96,0.916666666666667
GFZ_208,0.96,0.875
GFZ_209,0.96,0.875
GFZ_211,0.96,0.875
GFZ_212,0.96,0.875
GFZ_213,0.96,0.875
GFZ_214,0.96,0.875
GFZ_215,0.96,0.875
GFZ_216,0.96,0.875
GFZ_217,0.96,0.875
GFZ_218,0.96,0.875
GFZ_219,0.96,0.875
GFZ_221,0.96,0.833333333333333
GFZ_223,0.96,0.833333333333333
GFZ_228,0.96,0.833333333333333
GFZ_230,0.96,0.791666666666667
GFZ_231,0.96,0.791666666666667
GFZ_232,0.96,0.916666666666667
GFZ_234,0.96,0.875
GFZ_236,0.96,0.916666666666667
GFZ_237,0.96,0.833333333333333
GFZ_238,0.96,0.916666666666667
GFZ_239,0.96,0.875
GFZ_32,0.96,0.708333333333333
GFZ_321,0.96,0.625
GFZ_323,0.96,0.625
GFZ_33,0.96,0.708333333333333
GFZ_34,0.96,0.75
GFZ_35,0.96,0.708333333333333
GFZ_355,0.96,0.708333333333333
GFZ_356,0.96,0.75
GFZ_358,0.96,0.75
GFZ_359,0.96,0.75
GFZ_36,0.96,0.75
GFZ_37,0.96,0.75
GFZ_38,0.96,0.75
GFZ_384,0.96,0.75
GFZ_385,0.96,0.708333333333333
GFZ_386,0.96,0.75
GFZ_387,0.96,0.708333333333333
GFZ_388,0.96,0.75
GFZ_389,0.96,0.75
GFZ_39,0.96,0.75
GFZ_390,0.96,0.791666666666667
GFZ_391,0.96,0.75
GFZ_392,0.96,0.833333333333333
GFZ_393,0.96,0.833333333333333
GFZ_394,0.96,0.875
GFZ_395,0.96,0.833333333333333
GFZ_396,0.96,0.833333333333333
GFZ_397,0.96,0.833333333333333
GFZ_398,0.96,0.875
GFZ_399,0.96,0.833333333333333
GFZ_40,0.96,0.875
GFZ_44,0.96,0.875
GFZ_452,0.96,0.791666666666667
GFZ_453,0.96,0.75
GFZ_454,0.96,0.75
GFZ_455,0.96,0.75
GFZ_488,0.96,0.791666666666667
GFZ_489,0.96,0.791666666666667
GFZ_490,0.96,0.791666666666667
GFZ_491,0.96,0.791666666666667
GFZ_492,0.96,0.833333333333333
GFZ_493,0.96,0.833333333333333
GFZ_494,0.96,0.833333333333333
GFZ_495,0.96,0.833333333333333
GFZ_512,0.96,0.75
GFZ_513,0.96,0.75
GFZ_514,0.96,0.75
GFZ_515,0.96,0.75
GFZ_516,0.96,0.791666666666667
GFZ_517,0.96,0.791666666666667
GFZ_518,0.96,0.75
GFZ_519,0.96,0.75
GFZ_521,0.96,0.791666666666667
GFZ_525,0.96,0.791666666666667
GFZ_64,0.96,0.791666666666667
GFZ_65,0.96,0.75
GFZ_66,0.96,0.791666666666667
GFZ_67,0.96,0.791666666666667
GFZ_68,0.96,0.875
GFZ_69,0.96,0.833333333333333
GFZ_70,0.96,0.875
GFZ_71,0.96,0.875
GFZ_72,0.96,0.916666666666667
GFZ_73,0.96,0.916666666666667
GFZ_74,0.96,0.916666666666667
GFZ_75,0.96,0.916666666666667
GFZ_76,0.96,0.916666666666667
GFZ_77,0.96,0.875
GFZ_78,0.96,0.916666666666667
GFZ_79,0.96,0.916666666666667
JPL_132,0.96,0.75
JPL_133,0.96,0.75
JPL_134,0.96,0.75
JPL_135,0.96,0.75
JPL_160,0.96,0.666666666666667
JPL_161,0.96,0.666666666666667
JPL_162,0.96,0.666666666666667
JPL_163,0.96,0.666666666666667
JPL_164,0.96,0.708333333333333
JPL_165,0.96,0.666666666666667
JPL_166,0.96,0.708333333333333
JPL_167,0.96,0.666666666666667
JPL_168,0.96,0.791666666666667
JPL_169,0.96,0.791666666666667
JPL_171,0.96,0.791666666666667
JPL_172,0.96,0.791666666666667
JPL_173,0.96,0.791666666666667
JPL_174,0.96,0.791666666666667
JPL_175,0.96,0.791666666666667
JPL_177,0.96,0.833333333333333
JPL_179,0.96,0.833333333333333
JPL_181,0.96,0.875
JPL_183,0.96,0.875
JPL_187,0.96,0.791666666666667
JPL_392,0.96,0.833333333333333
JPL_393,0.96,0.833333333333333
JPL_394,0.96,0.833333333333333
JPL_395,0.96,0.833333333333333
JPL_397,0.96,0.833333333333333
JPL_399,0.96,0.833333333333333
JPL_451,0.96,0.708333333333333
JPL_452,0.96,0.75
JPL_453,0.96,0.75
JPL_454,0.96,0.75
JPL_455,0.96,0.75
JPL_481,0.96,0.708333333333333
JPL_483,0.96,0.708333333333333
JPL_485,0.96,0.75
JPL_487,0.96,0.75
JPL_488,0.96,0.833333333333333
JPL_490,0.96,0.833333333333333
JPL_492,0.96,0.833333333333333
JPL_493,0.96,0.833333333333333
JPL_494,0.96,0.833333333333333
JPL_495,0.96,0.833333333333333
JPL_496,0.96,0.833333333333333
JPL_498,0.96,0.833333333333333
JPL_500,0.96,0.833333333333333
JPL_501,0.96,0.833333333333333
JPL_502,0.96,0.833333333333333
JPL_503,0.96,0.833333333333333
JPL_69,0.96,0.75
JPL_71,0.96,0.75
JPL_77,0.96,0.875
JPL_79,0.96,0.875
CSR_0,0.92,0.708333333333333
CSR_1,0.92,0.708333333333333
CSR_100,0.92,0.75
CSR_101,0.92,0.75
CSR_102,0.92,0.75
CSR_103,0.92,0.708333333333333
CSR_106,0.92,0.791666666666667
CSR_128,0.92,0.75
CSR_129,0.92,0.708333333333333
CSR_130,0.92,0.75
CSR_131,0.92,0.75
CSR_132,0.92,0.791666666666667
CSR_133,0.92,0.75
CSR_136,0.92,0.791666666666667
CSR_137,0.92,0.791666666666667
CSR_138,0.92,0.791666666666667
CSR_139,0.92,0.791666666666667
CSR_140,0.92,0.791666666666667
CSR_141,0.92,0.791666666666667
CSR_142,0.92,0.791666666666667
CSR_143,0.92,0.791666666666667
CSR_160,0.92,0.708333333333333
CSR_176,0.92,0.833333333333333
CSR_180,0.92,0.833333333333333
CSR_184,0.92,0.833333333333333
CSR_186,0.92,0.833333333333333
CSR_188,0.92,0.791666666666667
CSR_189,0.92,0.791666666666667
CSR_190,0.92,0.791666666666667
CSR_191,0.92,0.833333333333333
CSR_192,0.92,0.75
CSR_193,0.92,0.708333333333333
CSR_195,0.92,0.75
CSR_197,0.92,0.75
CSR_199,0.92,0.75
CSR_2,0.92,0.75
CSR_200,0.92,0.875
CSR_201,0.92,0.833333333333333
CSR_202,0.92,0.916666666666667
CSR_203,0.92,0.916666666666667
CSR_205,0.92,0.916666666666667
CSR_207,0.92,0.958333333333333
CSR_217,0.92,0.875
CSR_219,0.92,0.875
CSR_220,0.92,0.833333333333333
CSR_221,0.92,0.833333333333333
CSR_222,0.92,0.833333333333333
CSR_223,0.92,0.833333333333333
CSR_3,0.92,0.708333333333333
CSR_32,0.92,0.791666666666667
CSR_320,0.92,0.708333333333333
CSR_322,0.92,0.75
CSR_324,0.92,0.75
CSR_326,0.92,0.75
CSR_33,0.92,0.75
CSR_34,0.92,0.791666666666667
CSR_35,0.92,0.791666666666667
CSR_36,0.92,0.791666666666667
CSR_360,0.92,0.833333333333333
CSR_362,0.92,0.833333333333333
CSR_364,0.92,0.833333333333333
CSR_37,0.92,0.791666666666667
CSR_371,0.92,0.833333333333333
CSR_38,0.92,0.791666666666667
CSR_4,0.92,0.75
CSR_40,0.92,0.916666666666667
CSR_401,0.92,0.791666666666667
CSR_403,0.92,0.791666666666667
CSR_407,0.92,0.75
CSR_41,0.92,0.833333333333333
CSR_416,0.92,0.75
CSR_417,0.92,0.75
CSR_418,0.92,0.666666666666667
CSR_419,0.92,0.75
CSR_42,0.92,0.916666666666667
CSR_425,0.92,0.708333333333333
CSR_427,0.92,0.708333333333333
CSR_429,0.92,0.708333333333333
