quantity,median,lo,hi
top20_holdout,0.854,0.7539,0.928
baseline_holdout,0.7985625,0.742509895833333,0.863849479166667
adv20,0.0574270833333334,-0.0412151041666667,0.107483854166667
attenuation,0.429377722305855,0.345880227163197,0.583706670301972
boundary_over_attenuation,0.830095339833437,0.581227547829499,1.1015342768575
