Study_area,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor
Central Eucla Basin (Eucla Basin),63315,133.208409341311,-31.5685760722495,87,-0.02,Oceania,stable,other (new)
Rio Grande Delta (Gulf Coast Regional Aquifer System),62984,-98.1333665759169,26.2757121856051,159,0.04,N America,stable,other (new)
Michigan Basin,62295,-84.6779367319877,43.45201354931,56,-0.02,N America,stable,other (new)
Southern Piedmont Upland (Piedmont Plateau),61856,-84.2623478748794,33.4871024381475,112,-0.06,N America,stable,other (new)
Eastern Huaihe Plain (Huaihe River Basin),61827,117.716088514225,34.5856811198099,33,0.07,E Asia,stable,other (new)
Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),61216,79.0150006885192,17.6319372686315,74,0.11,S Asia,deepening,other (new)
Eastern Mississippi Embayment (Mississippi Embayment),60634,-89.1153230473608,34.1192763673927,170,-0.05,N America,stable,other (new)
Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),59488,-92.3789663720182,44.7291750900662,82,-0.01,N America,stable,other (new)
Southeastern System (Amadeus Basin),59372,133.660966205573,-24.8250262093272,1,0.44,Oceania,deepening,other (new)
Edwards Plateau (Edwards-Trinity Aquifer System),58050,-100.806673362206,30.719893615846,342,0.02,N America,stable,other (new)
Southcentral Deccan Basalt Plateau (Deccan Plateau),57686,75.408862273867,17.922879097394,95,0.17,S Asia,deepening,other (new)
Eastside Lower Indus Valley (Indus Basin),57275,69.0398607248861,26.4578981256886,2,-0.03,S Asia,stable,other (new)
Central Piedmont Upland (Piedmont Plateau),57273,-79.1196917143535,36.5236530682044,21,-0.02,N America,stable,other (new)
Eastern Carrizo-Wilcox (Carrizo-Wilcox),57217,-94.5777147869526,32.2532332264476,438,0,N America,stable,other (new)
Jiangsu Coastal Plain (Huaihe River Basin),56925,119.806013738276,33.4158651688567,28,0.01,E Asia,stable,other (new)
Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),55195,-90.0551388821338,42.7236375356389,59,-0.03,N America,stable,other (new)
Northcentral Deccan Basalt Plateau (Deccan Plateau),53372,75.6844979683893,19.584477954344,48,0.23,S Asia,deepening,other (new)
Eastside Middle Indus Plain (Indus Basin),53045,72.337747302107,29.1526327034028,355,-0.06,S Asia,stable,other (new)
Central Allegheny Plateau (Appalachian Plateaus),52939,-80.7076474539419,39.49149819541,17,-0.02,N America,stable,other (new)
Northeastern Karoo Basin (Main Karoo Basin),52358,28.9313496568393,-26.9760298984317,30,-0.05,Africa,stable,other (new)
Southern Riverine Plains (Murray Basin),51599,144.728290085099,-35.9092349551246,4073,0.1,Oceania,stable,other (new)
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),50216,-87.7797236104302,33.2650588776618,39,0.07,N America,stable,other (new)
