aquifer_idx,Study_area,lat_idx,lon_idx,lat,lon
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),55,125,-29.5,-54.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),55,126,-29.5,-53.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),55,127,-29.5,-52.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),55,128,-29.5,-51.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),55,129,-29.5,-50.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),56,124,-28.5,-55.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),56,125,-28.5,-54.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),56,126,-28.5,-53.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),56,127,-28.5,-52.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),56,128,-28.5,-51.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),56,129,-28.5,-50.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),57,124,-27.5,-55.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),57,125,-27.5,-54.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),57,126,-27.5,-53.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),57,127,-27.5,-52.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),57,128,-27.5,-51.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),58,124,-26.5,-55.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),58,125,-26.5,-54.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),58,126,-26.5,-53.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),58,127,-26.5,-52.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),58,128,-26.5,-51.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),59,124,-25.5,-55.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),59,125,-25.5,-54.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),59,126,-25.5,-53.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),59,127,-25.5,-52.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),59,128,-25.5,-51.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),60,124,-24.5,-55.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),60,125,-24.5,-54.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),60,126,-24.5,-53.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),60,127,-24.5,-52.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),61,124,-23.5,-55.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),61,125,-23.5,-54.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),61,126,-23.5,-53.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),61,127,-23.5,-52.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),61,128,-23.5,-51.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),61,129,-23.5,-50.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),62,124,-22.5,-55.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),62,125,-22.5,-54.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),62,126,-22.5,-53.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),63,124,-21.5,-55.5
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),63,125,-21.5,-54.5
1,Northern Guarani Aquifer (Guarani Aquifer System),62,127,-22.5,-52.5
1,Northern Guarani Aquifer (Guarani Aquifer System),62,128,-22.5,-51.5
