Study_area,term,term_type,frac,ax1,ax2,tier
Alsatian Aquifer and Upper Rhine Valley,truncation x c30_treatment,interaction,2.72420727164204e-09,truncation,c30_treatment,tier2
Alsatian Aquifer and Upper Rhine Valley,truncation x geocenter,interaction,1.22640972802056e-06,truncation,geocenter,tier2
Alsatian Aquifer and Upper Rhine Valley,filter x gia_model,interaction,5.6452950988552e-16,filter,gia_model,tier2
Alsatian Aquifer and Upper Rhine Valley,filter x c20_treatment,interaction,2.16662486870999e-07,filter,c20_treatment,tier2
Alsatian Aquifer and Upper Rhine Valley,filter x c30_treatment,interaction,1.6784980325606e-10,filter,c30_treatment,tier2
Alsatian Aquifer and Upper Rhine Valley,filter x geocenter,interaction,1.2635733148573e-06,filter,geocenter,tier2
Alsatian Aquifer and Upper Rhine Valley,gia_model x c20_treatment,interaction,7.056618873569e-16,gia_model,c20_treatment,tier2
Alsatian Aquifer and Upper Rhine Valley,gia_model x c30_treatment,interaction,4.5311031574005e-16,gia_model,c30_treatment,tier2
Alsatian Aquifer and Upper Rhine Valley,gia_model x geocenter,interaction,1.0799694971723e-15,gia_model,geocenter,tier2
Alsatian Aquifer and Upper Rhine Valley,c20_treatment x c30_treatment,interaction,1.55505084985184e-16,c20_treatment,c30_treatment,tier2
Alsatian Aquifer and Upper Rhine Valley,c20_treatment x geocenter,interaction,-4.41805703388668e-16,c20_treatment,geocenter,tier2
Alsatian Aquifer and Upper Rhine Valley,c30_treatment x geocenter,interaction,-2.45447612993704e-16,c30_treatment,geocenter,tier2
Alsatian Aquifer and Upper Rhine Valley,higher-order,residual,0.00263289719310654,,,tier2
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),centre,main,0.17414089535154,centre,,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),truncation,main,1.01873581956124e-05,truncation,,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),filter,main,0.387092118223975,filter,,tier1
