Study_area,term,term_type,frac,ax1,ax2,tier
Central Wabash and Bloomington Ridged Plain (Central Lowland Till Plain),gia_model x c30_treatment,interaction,-3.8025345847807e-16,gia_model,c30_treatment,tier2
Central Wabash and Bloomington Ridged Plain (Central Lowland Till Plain),gia_model x geocenter,interaction,-3.2958115980028e-17,gia_model,geocenter,tier2
Central Wabash and Bloomington Ridged Plain (Central Lowland Till Plain),c20_treatment x c30_treatment,interaction,-1.94320923075605e-18,c20_treatment,c30_treatment,tier2
Central Wabash and Bloomington Ridged Plain (Central Lowland Till Plain),c20_treatment x geocenter,interaction,2.63664927840224e-16,c20_treatment,geocenter,tier2
Central Wabash and Bloomington Ridged Plain (Central Lowland Till Plain),c30_treatment x geocenter,interaction,3.13102101810266e-16,c30_treatment,geocenter,tier2
Central Wabash and Bloomington Ridged Plain (Central Lowland Till Plain),higher-order,residual,0.00127616654254664,,,tier2
Chaj Doab (Indus Basin),centre,main,0.0265692852560901,centre,,tier2
Chaj Doab (Indus Basin),truncation,main,0.0027646509355814,truncation,,tier2
Chaj Doab (Indus Basin),filter,main,0.86303361586985,filter,,tier2
Chaj Doab (Indus Basin),gia_model,main,0.0562888896226578,gia_model,,tier2
Chaj Doab (Indus Basin),c20_treatment,main,0.000104850380051297,c20_treatment,,tier2
Chaj Doab (Indus Basin),c30_treatment,main,1.93049194215486e-05,c30_treatment,,tier2
Chaj Doab (Indus Basin),geocenter,main,0.0259250883353937,geocenter,,tier2
Chaj Doab (Indus Basin),centre x truncation,interaction,9.48131891816952e-05,centre,truncation,tier2
Chaj Doab (Indus Basin),centre x filter,interaction,0.0155131122169393,centre,filter,tier2
Chaj Doab (Indus Basin),centre x gia_model,interaction,5.39774290160434e-13,centre,gia_model,tier2
Chaj Doab (Indus Basin),centre x c20_treatment,interaction,3.41661239580212e-05,centre,c20_treatment,tier2
Chaj Doab (Indus Basin),centre x c30_treatment,interaction,1.12998920644598e-06,centre,c30_treatment,tier2
Chaj Doab (Indus Basin),centre x geocenter,interaction,8.18388698118203e-09,centre,geocenter,tier2
Chaj Doab (Indus Basin),truncation x filter,interaction,0.00938247375361514,truncation,filter,tier2
Chaj Doab (Indus Basin),truncation x gia_model,interaction,1.08772126865738e-14,truncation,gia_model,tier2
Chaj Doab (Indus Basin),truncation x c20_treatment,interaction,2.55079943215956e-07,truncation,c20_treatment,tier2
Chaj Doab (Indus Basin),truncation x c30_treatment,interaction,3.423045526881e-08,truncation,c30_treatment,tier2
Chaj Doab (Indus Basin),truncation x geocenter,interaction,2.13904413232474e-09,truncation,geocenter,tier2
Chaj Doab (Indus Basin),filter x gia_model,interaction,5.54205809438204e-16,filter,gia_model,tier2
Chaj Doab (Indus Basin),filter x c20_treatment,interaction,2.86799646225666e-09,filter,c20_treatment,tier2
Chaj Doab (Indus Basin),filter x c30_treatment,interaction,2.09885210748765e-09,filter,c30_treatment,tier2
Chaj Doab (Indus Basin),filter x geocenter,interaction,7.89602261889641e-08,filter,geocenter,tier2
Chaj Doab (Indus Basin),gia_model x c20_treatment,interaction,1.52738543783451e-16,gia_model,c20_treatment,tier2
Chaj Doab (Indus Basin),gia_model x c30_treatment,interaction,-4.41344105536987e-17,gia_model,c30_treatment,tier2
Chaj Doab (Indus Basin),gia_model x geocenter,interaction,-3.91638772002998e-16,gia_model,geocenter,tier2
Chaj Doab (Indus Basin),c20_treatment x c30_treatment,interaction,4.2243760526709e-17,c20_treatment,c30_treatment,tier2
Chaj Doab (Indus Basin),c20_treatment x geocenter,interaction,-9.71707519214985e-16,c20_treatment,geocenter,tier2
Chaj Doab (Indus Basin),c30_treatment x geocenter,interaction,-9.82791635403749e-16,c30_treatment,geocenter,tier2
Chaj Doab (Indus Basin),higher-order,residual,0.00026823584710033,,,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),centre,main,0.00444107879666513,centre,,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),truncation,main,0.0075560741260691,truncation,,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),filter,main,0.199374446919163,filter,,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),gia_model,main,0.558719189802206,gia_model,,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),c20_treatment,main,0.00576104525971584,c20_treatment,,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),c30_treatment,main,6.0172485983162e-05,c30_treatment,,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),geocenter,main,0.171802257373616,geocenter,,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),centre x truncation,interaction,0.00673364636592542,centre,truncation,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),centre x filter,interaction,0.0279498298252911,centre,filter,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),centre x gia_model,interaction,5.35893906859158e-12,centre,gia_model,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),centre x c20_treatment,interaction,0.00187727099878997,centre,c20_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),centre x c30_treatment,interaction,3.52212075235225e-06,centre,c30_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),centre x geocenter,interaction,2.56664021413979e-06,centre,geocenter,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),truncation x filter,interaction,0.00535137038538428,truncation,filter,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),truncation x gia_model,interaction,1.10597070361725e-13,truncation,gia_model,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),truncation x c20_treatment,interaction,1.40154693302153e-05,truncation,c20_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),truncation x c30_treatment,interaction,1.06694783460181e-07,truncation,c30_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),truncation x geocenter,interaction,1.71697183577037e-06,truncation,geocenter,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),filter x gia_model,interaction,9.12517082192447e-17,filter,gia_model,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),filter x c20_treatment,interaction,1.57276082068263e-07,filter,c20_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),filter x c30_treatment,interaction,6.53898392905455e-09,filter,c30_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),filter x geocenter,interaction,5.23260575772151e-07,filter,geocenter,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),gia_model x c20_treatment,interaction,-1.71096952911084e-17,gia_model,c20_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),gia_model x c30_treatment,interaction,5.80014214718759e-17,gia_model,c30_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),gia_model x geocenter,interaction,-1.82503416438489e-16,gia_model,geocenter,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),c20_treatment x c30_treatment,interaction,-7.81632368865283e-17,c20_treatment,c30_treatment,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),c20_treatment x geocenter,interaction,-6.84387811644335e-16,c20_treatment,geocenter,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),c30_treatment x geocenter,interaction,-4.33445614041412e-16,c30_treatment,geocenter,tier2
Chicxulub Sedimentary Basin (Yucatan Peninsula),higher-order,residual,0.0103510026831664,,,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),centre,main,0.00171968653043236,centre,,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),truncation,main,0.00807064309818333,truncation,,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),filter,main,0.436851695419202,filter,,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),gia_model,main,0.01297159389819,gia_model,,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),c20_treatment,main,0.00369630562207536,c20_treatment,,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),c30_treatment,main,0.000125456024711434,c30_treatment,,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),geocenter,main,0.502111655870907,geocenter,,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),centre x truncation,interaction,0.00122382978014664,centre,truncation,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),centre x filter,interaction,0.00945732307449038,centre,filter,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),centre x gia_model,interaction,1.24589938398082e-13,centre,gia_model,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),centre x c20_treatment,interaction,0.00120446323009074,centre,c20_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),centre x c30_treatment,interaction,7.34341157985963e-06,centre,c30_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),centre x geocenter,interaction,4.68846911168949e-06,centre,geocenter,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),truncation x filter,interaction,0.0157770786903127,truncation,filter,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),truncation x gia_model,interaction,3.05216052595557e-15,truncation,gia_model,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),truncation x c20_treatment,interaction,8.99237281549803e-06,truncation,c20_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),truncation x c30_treatment,interaction,2.22452053775871e-07,truncation,c30_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),truncation x geocenter,interaction,3.22715976879593e-06,truncation,geocenter,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),filter x gia_model,interaction,1.70452245777623e-16,filter,gia_model,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),filter x c20_treatment,interaction,1.00940867744671e-07,filter,c20_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),filter x c30_treatment,interaction,1.36352807900736e-08,filter,c30_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),filter x geocenter,interaction,1.52928772186306e-06,filter,geocenter,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),gia_model x c20_treatment,interaction,7.45728575277103e-17,gia_model,c20_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),gia_model x c30_treatment,interaction,1.67580857848264e-16,gia_model,c30_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),gia_model x geocenter,interaction,-8.52261228888117e-16,gia_model,geocenter,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),c20_treatment x c30_treatment,interaction,-1.64667855601088e-16,c20_treatment,c30_treatment,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),c20_treatment x geocenter,interaction,-1.96020082644267e-15,c20_treatment,geocenter,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),c30_treatment x geocenter,interaction,-2.2158791951091e-15,c30_treatment,geocenter,tier2
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),higher-order,residual,0.00676415103193503,,,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),centre,main,0.0105148224903655,centre,,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),truncation,main,0.00594592381399743,truncation,,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),filter,main,0.655916105048126,filter,,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),gia_model,main,0.201224915756757,gia_model,,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),c20_treatment,main,0.00456151292686648,c20_treatment,,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),c30_treatment,main,2.89657913323445e-05,c30_treatment,,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),geocenter,main,0.0769700579213712,geocenter,,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),centre x truncation,interaction,0.00131557642491059,centre,truncation,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),centre x filter,interaction,0.0222604013499476,centre,filter,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),centre x gia_model,interaction,1.92893613487037e-12,centre,gia_model,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),centre x c20_treatment,interaction,0.00148639622051256,centre,c20_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),centre x c30_treatment,interaction,1.695475928974e-06,centre,c30_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),centre x geocenter,interaction,1.29394160265923e-06,centre,geocenter,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),truncation x filter,interaction,0.015910024362319,truncation,filter,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),truncation x gia_model,interaction,3.84212585231322e-14,truncation,gia_model,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),truncation x c20_treatment,interaction,1.10972504709354e-05,truncation,c20_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),truncation x c30_treatment,interaction,5.1360625654085e-08,truncation,c30_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),truncation x geocenter,interaction,8.60551745610877e-07,truncation,geocenter,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),filter x gia_model,interaction,-9.18541016604937e-16,filter,gia_model,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),filter x c20_treatment,interaction,1.24513877099738e-07,filter,c20_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),filter x c30_treatment,interaction,3.14746620275688e-09,filter,c30_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),filter x geocenter,interaction,2.34428898296022e-07,filter,geocenter,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),gia_model x c20_treatment,interaction,-1.05960267272641e-15,gia_model,c20_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),gia_model x c30_treatment,interaction,-1.01222758709041e-15,gia_model,c30_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),gia_model x geocenter,interaction,-1.67961785893474e-15,gia_model,geocenter,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),c20_treatment x c30_treatment,interaction,-4.44790160244941e-17,c20_treatment,c30_treatment,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),c20_treatment x geocenter,interaction,-6.56100726146384e-16,c20_treatment,geocenter,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),c30_treatment x geocenter,interaction,-6.69222740669311e-16,c30_treatment,geocenter,tier2
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),higher-order,residual,0.00384993722091662,,,tier2
Coonamble Embayment (Great Artesian Basin),centre,main,0.00432701427281486,centre,,tier1
Coonamble Embayment (Great Artesian Basin),truncation,main,0.0184221021790356,truncation,,tier1
Coonamble Embayment (Great Artesian Basin),filter,main,0.232951027148149,filter,,tier1
Coonamble Embayment (Great Artesian Basin),gia_model,main,0.0246572686905722,gia_model,,tier1
Coonamble Embayment (Great Artesian Basin),c20_treatment,main,0.00141664472721339,c20_treatment,,tier1
Coonamble Embayment (Great Artesian Basin),c30_treatment,main,0.000131218106253381,c30_treatment,,tier1
Coonamble Embayment (Great Artesian Basin),geocenter,main,0.636720478422722,geocenter,,tier1
Coonamble Embayment (Great Artesian Basin),centre x truncation,interaction,0.00987274840751129,centre,truncation,tier1
Coonamble Embayment (Great Artesian Basin),centre x filter,interaction,0.0162858472771596,centre,filter,tier1
Coonamble Embayment (Great Artesian Basin),centre x gia_model,interaction,2.36288262567615e-13,centre,gia_model,tier1
Coonamble Embayment (Great Artesian Basin),centre x c20_treatment,interaction,0.000461622167090293,centre,c20_treatment,tier1
Coonamble Embayment (Great Artesian Basin),centre x c30_treatment,interaction,7.68068661186367e-06,centre,c30_treatment,tier1
Coonamble Embayment (Great Artesian Basin),centre x geocenter,interaction,5.69840129813403e-06,centre,geocenter,tier1
Coonamble Embayment (Great Artesian Basin),truncation x filter,interaction,0.0473229353297229,truncation,filter,tier1
Coonamble Embayment (Great Artesian Basin),truncation x gia_model,interaction,4.38657269849514e-15,truncation,gia_model,tier1
Coonamble Embayment (Great Artesian Basin),truncation x c20_treatment,interaction,3.44641591518163e-06,truncation,c20_treatment,tier1
Coonamble Embayment (Great Artesian Basin),truncation x c30_treatment,interaction,2.32669116998315e-07,truncation,c30_treatment,tier1
Coonamble Embayment (Great Artesian Basin),truncation x geocenter,interaction,3.9305656999539e-06,truncation,geocenter,tier1
Coonamble Embayment (Great Artesian Basin),filter x gia_model,interaction,8.6361580622104e-17,filter,gia_model,tier1
Coonamble Embayment (Great Artesian Basin),filter x c20_treatment,interaction,3.87112759490384e-08,filter,c20_treatment,tier1
Coonamble Embayment (Great Artesian Basin),filter x c30_treatment,interaction,1.42636991542973e-08,filter,c30_treatment,tier1
Coonamble Embayment (Great Artesian Basin),filter x geocenter,interaction,1.93926841925544e-06,filter,geocenter,tier1
Coonamble Embayment (Great Artesian Basin),gia_model x c20_treatment,interaction,-2.53128770788925e-17,gia_model,c20_treatment,tier1
Coonamble Embayment (Great Artesian Basin),gia_model x c30_treatment,interaction,-1.81005683523698e-17,gia_model,c30_treatment,tier1
Coonamble Embayment (Great Artesian Basin),gia_model x geocenter,interaction,-2.00120628200186e-15,gia_model,geocenter,tier1
Coonamble Embayment (Great Artesian Basin),c20_treatment x c30_treatment,interaction,-5.64421321630453e-17,c20_treatment,c30_treatment,tier1
Coonamble Embayment (Great Artesian Basin),c20_treatment x geocenter,interaction,-2.28709289371641e-15,c20_treatment,geocenter,tier1
Coonamble Embayment (Great Artesian Basin),c30_treatment x geocenter,interaction,-2.66827504266914e-15,c30_treatment,geocenter,tier1
Coonamble Embayment (Great Artesian Basin),higher-order,residual,0.0074081122894854,,,tier1
Dakota Aquifer System,centre,main,0.0633360253281147,centre,,tier1
Dakota Aquifer System,truncation,main,0.00151208548136905,truncation,,tier1
Dakota Aquifer System,filter,main,0.127879091640346,filter,,tier1
Dakota Aquifer System,gia_model,main,0.610372641481852,gia_model,,tier1
Dakota Aquifer System,c20_treatment,main,0.00175685766472436,c20_treatment,,tier1
Dakota Aquifer System,c30_treatment,main,6.13366018653339e-06,c30_treatment,,tier1
Dakota Aquifer System,geocenter,main,0.184873023121357,geocenter,,tier1
Dakota Aquifer System,centre x truncation,interaction,0.000325813597543185,centre,truncation,tier1
Dakota Aquifer System,centre x filter,interaction,0.00405127509039826,centre,filter,tier1
Dakota Aquifer System,centre x gia_model,interaction,5.85531468448791e-12,centre,gia_model,tier1
Dakota Aquifer System,centre x c20_treatment,interaction,0.000572482550314986,centre,c20_treatment,tier1
Dakota Aquifer System,centre x c30_treatment,interaction,3.59026133390943e-07,centre,c30_treatment,tier1
Dakota Aquifer System,centre x geocenter,interaction,1.43770195018904e-06,centre,geocenter,tier1
Dakota Aquifer System,truncation x filter,interaction,0.00300200270705402,truncation,filter,tier1
Dakota Aquifer System,truncation x gia_model,interaction,1.21023283844288e-13,truncation,gia_model,tier1
Dakota Aquifer System,truncation x c20_treatment,interaction,4.27408326514273e-06,truncation,c20_treatment,tier1
Dakota Aquifer System,truncation x c30_treatment,interaction,1.08758935579787e-08,truncation,c30_treatment,tier1
Dakota Aquifer System,truncation x geocenter,interaction,9.96201351935727e-07,truncation,geocenter,tier1
Dakota Aquifer System,filter x gia_model,interaction,3.71807323638367e-16,filter,gia_model,tier1
Dakota Aquifer System,filter x c20_treatment,interaction,4.79202153507294e-08,filter,c20_treatment,tier1
Dakota Aquifer System,filter x c30_treatment,interaction,6.67806509423625e-10,filter,c30_treatment,tier1
Dakota Aquifer System,filter x geocenter,interaction,5.63070169070657e-07,filter,geocenter,tier1
Dakota Aquifer System,gia_model x c20_treatment,interaction,6.83341194421295e-16,gia_model,c20_treatment,tier1
Dakota Aquifer System,gia_model x c30_treatment,interaction,7.9602344708051e-16,gia_model,c30_treatment,tier1
Dakota Aquifer System,gia_model x geocenter,interaction,4.18283239093163e-16,gia_model,geocenter,tier1
Dakota Aquifer System,c20_treatment x c30_treatment,interaction,-1.09167625019537e-16,c20_treatment,c30_treatment,tier1
Dakota Aquifer System,c20_treatment x geocenter,interaction,-6.27424858639744e-16,c20_treatment,geocenter,tier1
Dakota Aquifer System,c30_treatment x geocenter,interaction,-7.20376689549336e-16,c30_treatment,geocenter,tier1
Dakota Aquifer System,higher-order,residual,0.00230487812397706,,,tier1
Daly Basin (Daly-Wiso-Georgina Basins),centre,main,0.0133874786860168,centre,,tier2
Daly Basin (Daly-Wiso-Georgina Basins),truncation,main,0.00354366366570165,truncation,,tier2
Daly Basin (Daly-Wiso-Georgina Basins),filter,main,0.663335710358702,filter,,tier2
Daly Basin (Daly-Wiso-Georgina Basins),gia_model,main,0.0135884062413753,gia_model,,tier2
Daly Basin (Daly-Wiso-Georgina Basins),c20_treatment,main,0.0136411287602652,c20_treatment,,tier2
Daly Basin (Daly-Wiso-Georgina Basins),c30_treatment,main,5.28243452061572e-05,c30_treatment,,tier2
Daly Basin (Daly-Wiso-Georgina Basins),geocenter,main,0.217381721719389,geocenter,,tier2
Daly Basin (Daly-Wiso-Georgina Basins),centre x truncation,interaction,0.0133069573770567,centre,truncation,tier2
Daly Basin (Daly-Wiso-Georgina Basins),centre x filter,interaction,0.00735567437209098,centre,filter,tier2
Daly Basin (Daly-Wiso-Georgina Basins),centre x gia_model,interaction,1.30503468230763e-13,centre,gia_model,tier2
Daly Basin (Daly-Wiso-Georgina Basins),centre x c20_treatment,interaction,0.00444504325194513,centre,c20_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),centre x c30_treatment,interaction,3.09200727059751e-06,centre,c30_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),centre x geocenter,interaction,3.49842537254732e-06,centre,geocenter,tier2
Daly Basin (Daly-Wiso-Georgina Basins),truncation x filter,interaction,0.0138627966792464,truncation,filter,tier2
Daly Basin (Daly-Wiso-Georgina Basins),truncation x gia_model,interaction,2.69447410747505e-15,truncation,gia_model,tier2
Daly Basin (Daly-Wiso-Georgina Basins),truncation x c20_treatment,interaction,3.31861362548423e-05,truncation,c20_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),truncation x c30_treatment,interaction,9.36653439868736e-08,truncation,c30_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),truncation x geocenter,interaction,2.33990541833483e-06,truncation,geocenter,tier2
Daly Basin (Daly-Wiso-Georgina Basins),filter x gia_model,interaction,-2.41936849621221e-16,filter,gia_model,tier2
Daly Basin (Daly-Wiso-Georgina Basins),filter x c20_treatment,interaction,3.72301554722142e-07,filter,c20_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),filter x c30_treatment,interaction,5.73921017109672e-09,filter,c30_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),filter x geocenter,interaction,6.62082365263501e-07,filter,geocenter,tier2
Daly Basin (Daly-Wiso-Georgina Basins),gia_model x c20_treatment,interaction,2.73154507636862e-17,gia_model,c20_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),gia_model x c30_treatment,interaction,8.81045231105505e-18,gia_model,c30_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),gia_model x geocenter,interaction,-1.24870632062566e-16,gia_model,geocenter,tier2
Daly Basin (Daly-Wiso-Georgina Basins),c20_treatment x c30_treatment,interaction,1.66148668149654e-17,c20_treatment,c30_treatment,tier2
Daly Basin (Daly-Wiso-Georgina Basins),c20_treatment x geocenter,interaction,-6.24353160312828e-17,c20_treatment,geocenter,tier2
Daly Basin (Daly-Wiso-Georgina Basins),c30_treatment x geocenter,interaction,-6.24353160312828e-17,c30_treatment,geocenter,tier2
Daly Basin (Daly-Wiso-Georgina Basins),higher-order,residual,0.0360553442800811,,,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),centre,main,0.0187169157011255,centre,,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),truncation,main,0.00225467807476375,truncation,,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),filter,main,0.189765785366798,filter,,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),gia_model,main,0.650256094331153,gia_model,,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),c20_treatment,main,0.00013402767619013,c20_treatment,,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),c30_treatment,main,1.19246351378403e-05,c30_treatment,,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),geocenter,main,0.117663207270361,geocenter,,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),centre x truncation,interaction,0.000806945207150526,centre,truncation,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),centre x filter,interaction,0.0144572647048325,centre,filter,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),centre x gia_model,interaction,6.23808698972058e-12,centre,gia_model,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),centre x c20_treatment,interaction,4.36737191946599e-05,centre,c20_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),centre x c30_treatment,interaction,6.9799345817955e-07,centre,c30_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),centre x geocenter,interaction,1.09568320353228e-06,centre,geocenter,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),truncation x filter,interaction,0.00368506070612666,truncation,filter,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),truncation x gia_model,interaction,1.29690698262694e-13,truncation,gia_model,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),truncation x c20_treatment,interaction,3.26062468555009e-07,truncation,c20_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),truncation x c30_treatment,interaction,2.11441442608893e-08,truncation,c30_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),truncation x geocenter,interaction,7.51948564541626e-07,truncation,geocenter,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),filter x gia_model,interaction,9.49245732938289e-16,filter,gia_model,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),filter x c20_treatment,interaction,3.65034004942635e-09,filter,c20_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),filter x c30_treatment,interaction,1.29705657378053e-09,filter,c30_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),filter x geocenter,interaction,3.58368274616283e-07,filter,geocenter,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),gia_model x c20_treatment,interaction,1.2260704468042e-15,gia_model,c20_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),gia_model x c30_treatment,interaction,1.12318817689056e-15,gia_model,c30_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),gia_model x geocenter,interaction,1.63151610348768e-15,gia_model,geocenter,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),c20_treatment x c30_treatment,interaction,-4.4901455262889e-19,c20_treatment,c30_treatment,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),c20_treatment x geocenter,interaction,-8.89917874629646e-17,c20_treatment,geocenter,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),c30_treatment x geocenter,interaction,-8.89917874629646e-17,c30_treatment,geocenter,tier2
Delmarva Peninsula (North Atlantic Coastal Plain),higher-order,residual,0.00220116645328384,,,tier2
Denver Basin,centre,main,0.0421291507571443,centre,,tier2
Denver Basin,truncation,main,0.00698243021695316,truncation,,tier2
Denver Basin,filter,main,0.247300380368782,filter,,tier2
