Study_area,n_recipes,n_pos,n_neg,min_trend,max_trend,median_trend,frac_pos,frac_neg,sign_agree,spans_zero,tier,area_km2
Tifton Upland (Floridan Aquifer System),1920,1446,474,-0.551555914945411,0.855475779831331,0.23631715913206,0.753125,0.246875,0.753125,TRUE,tier2,14658
Powder River Basin (Northern Great Plains),1920,1455,465,-0.901043651660414,0.935965284394598,0.378713261224424,0.7578125,0.2421875,0.7578125,TRUE,tier1,63642
Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),1920,463,1457,-0.377857846034792,0.255143530389193,-0.0969105778390422,0.241145833333333,0.758854166666667,0.758854166666667,TRUE,tier1,292840
Chicxulub Sedimentary Basin (Yucatan Peninsula),1920,1474,446,-0.397077746383898,0.648461226210947,0.164396011139415,0.767708333333333,0.232291666666667,0.767708333333333,TRUE,tier2,14250
Southern Coromandel Fractured Charnockite and Gneiss Aquifers (Coromandel Coastal Plain),1920,1474,446,-0.350733583440966,0.357554510221158,0.0759148569147118,0.767708333333333,0.232291666666667,0.767708333333333,TRUE,tier2,13538
Transboundary Judith River Aquifer (Bearpaw-Judith River Aquifer System),1920,1478,442,-0.489034345968867,0.977609369569298,0.244524048749842,0.769791666666667,0.230208333333333,0.769791666666667,TRUE,tier2,22275
Blue Mountains and Clearwater Embayment (Columbia Plateau Regional Aquifer System),1920,437,1483,-0.918160204263773,0.325785952385229,-0.181553491635964,0.227604166666667,0.772395833333333,0.772395833333333,TRUE,tier2,26297
Silurian and Overlying Unconsolidated Aquifers (Southern Ontario Paleozoic Aquifer System),1920,1483,437,-0.838185912594545,1.28449107346561,0.480604697968139,0.772395833333333,0.227604166666667,0.772395833333333,TRUE,tier2,13360
Sea Island (Floridan Aquifer System),1920,1486,434,-0.582618080801351,0.940535276822027,0.273095484564958,0.773958333333333,0.226041666666667,0.773958333333333,TRUE,tier2,22877
Southern Hills (Gulf Coast Regional Aquifer System),1920,1486,434,-0.487250166938021,0.815355567748163,0.219211808470735,0.773958333333333,0.226041666666667,0.773958333333333,TRUE,tier2,34191
Southern St. Lawrence Lowlands (St. Lawrence Lowlands),1920,1496,424,-0.732292089413089,1.17733152554428,0.471262766566302,0.779166666666667,0.220833333333333,0.779166666666667,TRUE,tier2,24965
Ocala Uplift (Floridan Aquifer System),1920,1515,405,-0.544621557353833,1.18245736146853,0.279396951425407,0.7890625,0.2109375,0.7890625,TRUE,tier2,35660
Southern Riverine Plains (Murray Basin),1920,1515,405,-0.108434157164584,0.47346586098067,0.163764807769406,0.7890625,0.2109375,0.7890625,TRUE,tier1,51599
Tuli Karoo Aquifer,1920,403,1517,-0.457221608420039,0.3071454492333,-0.192708056886358,0.209895833333333,0.790104166666667,0.790104166666667,TRUE,tier2,12618
Dakota Aquifer System,1920,1518,402,-0.44025826695235,0.8197289667313,0.269654488032693,0.790625,0.209375,0.790625,TRUE,tier1,110336
