Study_area,dominance_R,abs_GRACE_trend,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,tier,resolution_ratio,ai_mean,climate_zone,abs_trend_m_yr
Lower Liaohe River Plain (Liaohe River Basin),10.5275883613908,0.0190795339737342,69968,122.803337299554,42.4270318660877,25,0,E Asia,stable,other (new),tier1,0.636072727272727,0.505358722396618,dry sub-humid,0
Wadi As-Sirhan Basin,0.415475641498339,0.997607919319854,68037,38.4472391117464,30.4776326878126,4,0.22,Mid East,deepening,other (new),tier1,0.618518181818182,0.0252675282205056,hyper-arid,0.22
Eastern Saq Aquifer (Ram-Saq Aquifer System),1.06823010446817,0.903862897409158,67601,44.0574526922778,26.1275325289541,29,1.3,Mid East,rapidly deepening,other (new),tier1,0.614554545454546,0.0570128764691827,arid,1.3
Trinity Aquifer System (Edwards-Trinity Aquifer System),1.32848756947751,0.250586903040339,67070,-97.3925110012785,32.2951646063437,622,0.05,N America,stable,other (new),tier1,0.609727272727273,0.548730250210852,dry sub-humid,0.05
Wisconsin Precambrian Aquifer,0.824581771639571,0.480391543281934,65963,-89.8861101919984,45.733653943509,45,-0.02,N America,stable,other (new),tier1,0.599663636363636,1.03089829423336,humid,0.02
Lafayette Area (Gulf Coast Regional Aquifer System),2.49649521429734,0.131208618680273,65824,-93.1101116190547,30.6290250495996,431,-0.04,N America,stable,other (new),tier1,0.5984,1.07845274472642,humid,0.04
Paskapoo-Scollard,1.77885763531139,0.322977990667824,65768,-115.481028433771,53.0649872289773,26,-0.01,N America,stable,other (new),tier1,0.597890909090909,0.712528518760684,humid,0.01
Western Surat Basin (Great Artesian Basin),3.81522286484713,0.0559186726429755,65684,147.679877377498,-28.3120325045684,109,-0.01,Oceania,stable,other (new),tier1,0.597127272727273,0.249949682304413,semi-arid,0.01
Coonamble Embayment (Great Artesian Basin),0.911212854681179,0.246061382895791,65411,148.504731989458,-30.8165096440184,792,0.11,Oceania,deepening,other (new),tier1,0.594645454545455,0.317322705210644,semi-arid,0.11
Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),1.35522050691012,0.153836064560225,64955,149.642192481831,-27.1998727733948,217,0,Oceania,stable,other (new),tier1,0.5905,0.337433397488558,semi-arid,0
Wuyuer-Shuangyang System (Songnen Plain),0.848454189368362,0.523739257914844,63713,124.329598980185,45.8550336061385,19,0.04,E Asia,stable,other (new),tier1,0.579209090909091,0.425934435653066,semi-arid,0.04
Powder River Basin (Northern Great Plains),1.43357210176718,0.378713261224424,63642,-105.847712968912,44.5930206929222,12,-0.01,N America,stable,other (new),tier1,0.578563636363636,0.276846836125554,semi-arid,0.01
Central Eucla Basin (Eucla Basin),2.23356880786986,0.102168440629784,63315,133.208409341311,-31.5685760722495,87,-0.02,Oceania,stable,other (new),tier1,0.575590909090909,0.13384354496133,arid,0.02
Rio Grande Delta (Gulf Coast Regional Aquifer System),1.18552796829587,0.287591680837426,62984,-98.1333665759169,26.2757121856051,159,0.04,N America,stable,other (new),tier1,0.572581818181818,0.381522552584061,semi-arid,0.04
Michigan Basin,0.892115284418705,0.617960717341416,62295,-84.6779367319877,43.45201354931,56,-0.02,N America,stable,other (new),tier1,0.566318181818182,0.917717626126442,humid,0.02
Southern Piedmont Upland (Piedmont Plateau),2.77744187206895,0.136574924971916,61856,-84.2623478748794,33.4871024381475,112,-0.06,N America,stable,other (new),tier1,0.562327272727273,1.07287415852586,humid,0.06
Eastern Huaihe Plain (Huaihe River Basin),0.921380363515391,0.37385314274233,61827,117.716088514225,34.5856811198099,33,0.07,E Asia,stable,other (new),tier1,0.562063636363636,0.637028641619818,dry sub-humid,0.07
Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),0.443632710877062,0.585606441758707,61216,79.0150006885192,17.6319372686315,74,0.11,S Asia,deepening,other (new),tier1,0.556509090909091,0.471568414881143,semi-arid,0.11
Eastern Mississippi Embayment (Mississippi Embayment),3.53082304424355,0.116473772792321,60634,-89.1153230473608,34.1192763673927,170,-0.05,N America,stable,other (new),tier1,0.551218181818182,1.1149083379219,humid,0.05
Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),3.01410374774765,0.189889461300215,59488,-92.3789663720182,44.7291750900662,82,-0.01,N America,stable,other (new),tier1,0.5408,0.896799608520083,humid,0.01
Southeastern System (Amadeus Basin),0.913809811350092,0.305718118846322,59372,133.660966205573,-24.8250262093272,1,0.44,Oceania,deepening,other (new),tier1,0.539745454545455,0.101209765553373,arid,0.44
Edwards Plateau (Edwards-Trinity Aquifer System),0.584237943391895,0.575857367385142,58050,-100.806673362206,30.719893615846,342,0.02,N America,stable,other (new),tier1,0.527727272727273,0.278421504611398,semi-arid,0.02
Southcentral Deccan Basalt Plateau (Deccan Plateau),0.409789859330771,0.632182593004266,57686,75.408862273867,17.922879097394,95,0.17,S Asia,deepening,other (new),tier1,0.524418181818182,0.364434363839128,semi-arid,0.17
Eastside Lower Indus Valley (Indus Basin),38.3715522836576,0.0224463816567225,57275,69.0398607248861,26.4578981256886,2,-0.03,S Asia,stable,other (new),tier1,0.520681818181818,0.0696086246836545,arid,0.03
Central Piedmont Upland (Piedmont Plateau),25.2137577004876,0.0172610091966411,57273,-79.1196917143535,36.5236530682044,21,-0.02,N America,stable,other (new),tier1,0.520663636363636,1.0075083373494,humid,0.02
Eastern Carrizo-Wilcox (Carrizo-Wilcox),5.60966665843594,0.0647123105304513,57217,-94.5777147869526,32.2532332264476,438,0,N America,stable,other (new),tier1,0.520154545454545,0.871528098481677,humid,0
Jiangsu Coastal Plain (Huaihe River Basin),9.60842253121077,0.0253877350755101,56925,119.806013738276,33.4158651688567,28,0.01,E Asia,stable,other (new),tier1,0.5175,0.820833220036003,humid,0.01
Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),1.03645803827182,0.432227400416268,55195,-90.0551388821338,42.7236375356389,59,-0.03,N America,stable,other (new),tier1,0.501772727272727,0.919227667952519,humid,0.03
Northcentral Deccan Basalt Plateau (Deccan Plateau),0.521209679725135,0.725927795531511,53372,75.6844979683893,19.584477954344,48,0.23,S Asia,deepening,other (new),tier1,0.4852,0.403596386525412,semi-arid,0.23
Eastside Middle Indus Plain (Indus Basin),0.336860252268697,1.33836639147945,53045,72.337747302107,29.1526327034028,355,-0.06,S Asia,stable,other (new),tier1,0.482227272727273,0.103621293328627,arid,0.06
Central Allegheny Plateau (Appalachian Plateaus),6.2282567492936,0.0827299404378283,52939,-80.7076474539419,39.49149819541,17,-0.02,N America,stable,other (new),tier1,0.481263636363636,1.09921011866722,humid,0.02
