aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_stipulated_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),181,-0.31791688120528333,-0.05
1,Northern Guarani Aquifer (Guarani Aquifer System),141,-0.3362146745554348,0.0526
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),122,-0.30080726490135956,-0.0554
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),101,-0.05083857090767785,0.0583
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),105,-0.13376273128509525,-0.0614
5,Eastern Eromanga Basin (Great Artesian Basin),106,0.10463252339213873,0.0646
6,Northern Eromanga Basin (Great Artesian Basin),99,-0.09511491964671806,-0.068
7,Northern High Plains (High Plains),111,-0.0198735358932152,0.0716
8,Williston Basin (Northern Great Plains),116,-0.16648214631125502,-0.0753
9,Central Eromanga Depocenter (Great Artesian Basin),78,0.12712766923618626,0.0793
10,Western Parecis Basin (Parecis Basin),71,-0.4723790151090789,-0.0835
11,Upper Gangetic Plain (Indo-Gangetic Plain),73,0.11223064951456517,0.0878
12,Stampriet Kalahari Karoo Aquifer System,73,-0.42582284846868457,-0.0925
13,Northcentral Mega Aquifer System (Mega Aquifer System),65,0.051640907191332554,0.0973
14,Ozark Plateaus Aquifer System,70,-0.1368949822230604,-0.1024
15,Western Karoo Basin (Main Karoo Basin),52,-0.08162058332307463,0.1078
16,Middle Gangetic Plain (Indo-Gangetic Plain),53,-0.18395084904879688,-0.1135
17,Northern Mega Aquifer System (Mega Aquifer System),54,0.11114153293280393,0.1195
18,Canning Basin,47,-0.19955621767891507,-0.1257
19,Central Karoo Basin (Main Karoo Basin),49,-0.1289641205933488,0.1324
20,Southern Carpentaria Basin (Great Artesian Basin),44,-0.2089092843640426,-0.1393
21,Eastern Parecis Basin (Parecis Basin),38,-0.12925747567357382,0.1466
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),41,-0.25184875343017754,-0.1543
23,Wiso Basin (Daly-Wiso-Georgina Basins),40,-0.02839682071321417,0.1625
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),41,-0.40989869128271894,-0.171
25,Dakota Aquifer System,51,0.05908104534431851,0.18
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),39,-0.23511478348203363,-0.1894
27,Trans Gangetic Plain (Indo-Gangetic Plain),40,0.41651891112757106,0.1994
28,Southcentral Mega Aquifer System (Mega Aquifer System),32,-0.11108679121688754,-0.2099
29,Central Mississippi Embayment (Mississippi Embayment),36,0.013235633699295663,0.2209
30,Northern Karoo Basin (Main Karoo Basin),32,-0.533271921790844,-0.2325
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),36,0.041049174699091154,0.2448
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),25,-0.27546271678055106,-0.2576
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),27,0.15799783257256492,0.2712
34,Central Huaihe Plain (Huaihe River Basin),29,-0.3802785303930505,-0.2854
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,38,-0.051419481058634725,0.3004
36,Southern High Plains (High Plains),30,-0.44362157595405255,-0.3162
37,Southcentral Karoo Basin (Main Karoo Basin),27,0.1650394197162667,0.3329
38,Central High Plains (High Plains),28,-0.44975940180841567,-0.3503
39,Lower Liaohe River Plain (Liaohe River Basin),29,0.7835115685554725,0.3688
40,Wadi As-Sirhan Basin,25,-0.13559479835599686,-0.3882
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),25,0.4410297698740091,0.4086
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),25,-0.6419035062700836,-0.43
43,Wisconsin Precambrian Aquifer,29,0.2671586087728771,0.4526
44,Lafayette Area (Gulf Coast Regional Aquifer System),26,-0.5728870160811302,-0.4764
45,Paskapoo-Scollard,36,0.19934143687544395,0.5015
46,Western Surat Basin (Great Artesian Basin),23,-0.5635936587262836,-0.5278
47,Coonamble Embayment (Great Artesian Basin),25,0.6265873160267394,0.5556
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),22,-0.7312632148052657,-0.5848
49,Wuyuer-Shuangyang System (Songnen Plain),29,1.1438214071172428,0.6155
50,Powder River Basin (Northern Great Plains),29,-0.6937001706775716,-0.6479
51,Central Eucla Basin (Eucla Basin),23,0.5952731316820055,0.682
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),21,-1.0177505831179645,-0.7178
53,Michigan Basin,25,0.4293094034190692,0.7556
54,Southern Piedmont Upland (Piedmont Plateau),24,-0.8099733558142724,-0.7953
55,Eastern Huaihe Plain (Huaihe River Basin),26,0.8775015080399595,0.8371
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),22,-0.9201331515544628,-0.8811
57,Eastern Mississippi Embayment (Mississippi Embayment),22,0.8167623739201573,0.9274
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),28,-1.060897716714743,-0.9762
59,Southeastern System (Amadeus Basin),22,0.86609401992146,1.0275
