centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank
GFZ,615,96,DDK8,none,original,original,GravIS,-0.641894751818347,31,0.641894751818347,0.641894751818347,57
CSR,621,96,DDK8,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.63845132777893,31,0.63845132777893,0.63845132777893,58
CSR,623,96,DDK8,Geruo_ICE5G_VM2,original,original,GravIS,-0.63845132777893,31,0.63845132777893,0.63845132777893,59
GFZ,601,96,DDK7,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.637236001647371,31,0.637236001647371,0.637236001647371,60
GFZ,603,96,DDK7,Peltier_ICE6G_D,replaced,original,GravIS,-0.637236001647371,31,0.637236001647371,0.637236001647371,61
GFZ,621,96,DDK8,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.637236001647371,31,0.637236001647371,0.637236001647371,62
GFZ,623,96,DDK8,Geruo_ICE5G_VM2,original,original,GravIS,-0.637236001647371,31,0.637236001647371,0.637236001647371,63
JPL,576,96,DDK7,none,replaced,replaced,none,-0.636223229871072,31,0.636223229871072,0.636223229871072,64
JPL,578,96,DDK7,none,replaced,original,none,-0.636223229871072,31,0.636223229871072,0.636223229871072,65
GFZ,619,96,DDK8,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.635413012450033,31,0.635413012450033,0.635413012450033,66
JPL,609,96,DDK8,none,replaced,replaced,GravIS,-0.631564479700096,31,0.631564479700096,0.631564479700096,67
JPL,611,96,DDK8,none,replaced,original,GravIS,-0.631564479700096,31,0.631564479700096,0.631564479700096,68
GFZ,587,96,DDK7,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.631159370989577,31,0.631159370989577,0.631159370989577,69
CSR,297,60,DDK8,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.629944044858018,31,0.629944044858018,0.629944044858018,70
GFZ,589,96,DDK7,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.628931273081719,31,0.628931273081719,0.628931273081719,71
GFZ,577,96,DDK7,none,replaced,replaced,GravIS,-0.628526164371199,31,0.628526164371199,0.628526164371199,72
GFZ,579,96,DDK7,none,replaced,original,GravIS,-0.628526164371199,31,0.628526164371199,0.628526164371199,73
CSR,299,60,DDK8,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.628323610015939,31,0.628323610015939,0.628323610015939,74
CSR,303,60,DDK8,Geruo_ICE5G_VM2,original,original,GravIS,-0.628121055660679,31,0.628121055660679,0.628121055660679,75
JPL,613,96,DDK8,none,original,replaced,GravIS,-0.6275133925949,31,0.6275133925949,0.6275133925949,76
JPL,615,96,DDK8,none,original,original,GravIS,-0.6275133925949,31,0.6275133925949,0.6275133925949,77
JPL,621,96,DDK8,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.62731083823964,31,0.62731083823964,0.62731083823964,78
JPL,623,96,DDK8,Geruo_ICE5G_VM2,original,original,GravIS,-0.62731083823964,31,0.62731083823964,0.62731083823964,79
CSR,301,60,DDK8,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.627108283884381,31,0.627108283884381,0.627108283884381,80
JPL,585,96,DDK7,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.627108283884381,31,0.627108283884381,0.627108283884381,81
