subset,n,s90,lo,hi
graded_floor_v3,73,0.753114625986203,0.468714795655617,1.49991307564082
graded_floor_v3 depleting,69,0.759871584777593,0.443279848242173,2.21182176936481
graded_balanced_v1,73,2.39884390891411,1.09654083501691,7.15035052741596
graded_balanced_v1 depleting,43,1.90432932999884,0.808634560002962,13.1638782376273
graded_balanced_v1 recovering,30,2.97789594895072,0.90679687215094,19.7506488884394
graded_balanced_v2,73,15.79314990107,2.52588022277293,6531.07778696128
graded_balanced_v2 depleting,43,307.707378881258,3.059981459364,155946251706967000
graded_balanced_v2 recovering,30,2.91335090212859,1.01992769260924,36.023639753567
graded_balanced_v3,73,85.5847978547279,7.59164497915706,42297.4109017373
graded_balanced_v3 depleting,42,195.515906513599,6.05287661841817,42043046247.4774
graded_balanced_v3 recovering,31,48.3102533057845,3.60503619573585,5786320.86232357
graded_balanced_v1_reversed,73,3.37839328388508,1.57424344999583,10.4774332287656
graded_balanced_v1_reversed depleting,41,2.66688693871031,1.01072694141574,14.032988770981
graded_balanced_v1_reversed recovering,32,4.8089217683614,1.3892744328696,80.1488792446628
graded_balanced_v3_noise2,73,25.8535569710317,4.17940170703364,1117.43455400896
graded_balanced_v3_noise2 depleting,42,36.1882466430493,2.7220220750735,367432.367008309
graded_balanced_v3_noise2 recovering,31,19.7053540346463,3.23504027434226,4449.74853108594
POOLED (3 layouts),219,11.2203435128289,4.31977677169446,45.8406483971215
