aquifer_idx,study_area,tau_true,n_recipes,median_rec,q25,q75,frac_neg,frac_pos,p_sign,bias,brackets,sign_recovered_by_median
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),-1.18370456872834,1920,-0.836914250842124,-0.97215766703126,-0.698121672882674,1,0,1,0.346790317886216,FALSE,TRUE
1,Northern Guarani Aquifer (Guarani Aquifer System),-1.29111700154976,1920,-0.849441363466627,-0.986517065310691,-0.723271639202725,1,0,1,0.441675638083128,FALSE,TRUE
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),-1.12932720799845,1920,-0.725611002457566,-0.97843451033646,-0.57006333687594,1,0,1,0.403716205540879,FALSE,TRUE
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),-0.872805628706702,1920,-0.315596826884696,-0.587600811703892,-0.240923258934219,1,0,1,0.557208801822006,FALSE,TRUE
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),-1.01432536826834,1920,-0.622182902664403,-0.693019085204685,-0.536724015761603,1,0,1,0.392142465603941,FALSE,TRUE
5,Eastern Eromanga Basin (Great Artesian Basin),-0.884064164604067,1920,-0.651286745975383,-0.89604712796535,-0.534681644610425,1,0,1,0.232777418628684,TRUE,TRUE
6,Northern Eromanga Basin (Great Artesian Basin),-0.940356373886692,1920,-0.660415932201319,-0.759736336207451,-0.580965561293689,1,0,1,0.279940441685373,FALSE,TRUE
7,Northern High Plains (High Plains),-0.970087910247318,1920,-0.571752552511824,-0.973930194116323,-0.307298933874196,0.968229166666667,0.0317708333333333,0.968229166666667,0.398335357735494,TRUE,TRUE
8,Williston Basin (Northern Great Plains),-0.959327482767837,1920,-0.890668044216263,-1.12373131822225,-0.612943008405726,0.995833333333333,0.00416666666666667,0.995833333333333,0.068659438551574,TRUE,TRUE
9,Central Eromanga Depocenter (Great Artesian Basin),-0.936956423413643,1920,-0.706405550409317,-0.867753613167274,-0.579072559473973,0.984375,0.015625,0.984375,0.230550873004326,FALSE,TRUE
10,Western Parecis Basin (Parecis Basin),-1.19874682983483,1920,-0.689460298412851,-0.860568528759402,-0.596639709283197,1,0,1,0.509286531421975,FALSE,TRUE
11,Upper Gangetic Plain (Indo-Gangetic Plain),-0.847007300177388,1920,-0.499886750148206,-0.736019921940082,-0.385625927392223,0.995833333333333,0.00416666666666667,0.995833333333333,0.347120550029182,FALSE,TRUE
12,Stampriet Kalahari Karoo Aquifer System,-1.15310931207529,1920,-0.482791093274188,-0.646308588683166,-0.398215974655283,1,0,1,0.6703182188011,FALSE,TRUE
13,Northcentral Mega Aquifer System (Mega Aquifer System),-0.909263237767909,1920,-0.47872447107445,-0.764014432944998,-0.367456131154597,1,0,1,0.430538766693459,FALSE,TRUE
14,Ozark Plateaus Aquifer System,-0.884218694840616,1920,-0.313109336852703,-0.600523243231935,-0.136446540212804,0.903645833333333,0.0963541666666667,0.903645833333333,0.571109357987913,FALSE,TRUE
15,Western Karoo Basin (Main Karoo Basin),-1.04828370964887,1920,-0.490013959853314,-0.72492093147565,-0.338776506381182,1,0,1,0.558269749795556,FALSE,TRUE
16,Middle Gangetic Plain (Indo-Gangetic Plain),-0.871501779610016,1920,-0.400245240191161,-0.525260245849614,-0.239522273464137,0.925520833333333,0.0744791666666667,0.925520833333333,0.471256539418855,FALSE,TRUE
17,Northern Mega Aquifer System (Mega Aquifer System),-0.836557359593512,1920,-0.529318070998724,-0.807184974986159,-0.401283792818792,1,0,1,0.307239288594788,FALSE,TRUE
18,Canning Basin,-0.827100429095847,1920,-0.262600390223484,-0.420838720886681,-0.189332757125957,0.960416666666667,0.0395833333333333,0.960416666666667,0.564500038872363,FALSE,TRUE
19,Central Karoo Basin (Main Karoo Basin),-1.16357568032466,1920,-0.424003403080742,-0.609391776932412,-0.290618564181228,0.916666666666667,0.0833333333333333,0.916666666666667,0.739572277243919,FALSE,TRUE
20,Southern Carpentaria Basin (Great Artesian Basin),-0.89128696723705,1920,-0.412162615987419,-0.533839737444367,-0.293538049273106,0.910416666666667,0.0895833333333333,0.910416666666667,0.479124351249631,FALSE,TRUE
21,Eastern Parecis Basin (Parecis Basin),-1.09308280996839,1920,-0.58851508095163,-0.761658789504473,-0.409396824616473,0.934375,0.065625,0.934375,0.504567729016758,FALSE,TRUE
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),-0.839492934549316,1920,-0.310244993618775,-0.461117828597049,-0.215273823957269,0.99375,0.00625,0.99375,0.529247940930541,FALSE,TRUE
23,Wiso Basin (Daly-Wiso-Georgina Basins),-0.972890824603987,1920,-0.526602632177875,-0.75527547767919,-0.404086651531643,1,0,1,0.446288192426112,FALSE,TRUE
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),-1.02302317434909,1920,-0.476453222213167,-0.629636922834169,-0.382504104892606,0.989583333333333,0.0104166666666667,0.989583333333333,0.546569952135924,FALSE,TRUE
25,Dakota Aquifer System,-0.946023676999605,1920,-1.00022659579226,-1.28727181885643,-0.661837874652517,0.970833333333333,0.0291666666666667,0.970833333333333,-0.0542029187926522,TRUE,TRUE
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),-0.861510743482972,1920,-0.511564196769307,-0.62775307226714,-0.421529474523942,1,0,1,0.349946546713665,FALSE,TRUE
27,Trans Gangetic Plain (Indo-Gangetic Plain),-0.606852351055633,1920,-0.407689049021229,-0.75238425875631,-0.284821232753342,0.986979166666667,0.0130208333333333,0.986979166666667,0.199163302034404,TRUE,TRUE
28,Southcentral Mega Aquifer System (Mega Aquifer System),-0.666436222674148,1920,-0.223761802421348,-0.341295449588089,-0.140463533300532,0.931770833333333,0.0682291666666667,0.931770833333333,0.4426744202528,FALSE,TRUE
29,Central Mississippi Embayment (Mississippi Embayment),-1.08952745661845,1920,-0.367273235052068,-0.774998538714077,-0.153538922154473,0.9171875,0.0828125,0.9171875,0.72225422156638,FALSE,TRUE
30,Northern Karoo Basin (Main Karoo Basin),-1.20153053246074,1920,-0.447308348457077,-0.668670573022654,-0.334184517917855,0.963541666666667,0.0364583333333333,0.963541666666667,0.754222184003664,FALSE,TRUE
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),-0.99629569766425,1920,-0.720477710806277,-0.957479836481721,-0.428825867306926,0.965625,0.034375,0.965625,0.275817986857974,FALSE,TRUE
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),-0.785094806747166,1920,-0.41898181072212,-0.694521933914113,-0.298479991882815,1,0,1,0.366112996025045,FALSE,TRUE
