aquifer_idx,tau_true,median_rec,q25,q75,frac_neg,frac_pos,p_sign,abs_tau
0,-0.54592966169869,-0.318662785049224,-0.422321304124684,-0.195569162211694,0.9578125,0.0421875,0.9578125,0.54592966169869
1,-0.513743772482181,-0.403291062029496,-0.504150439012572,-0.306915319655235,0.9984375,0.0015625,0.9984375,0.513743772482181
2,-0.53379301247018,-0.36007369029227,-0.51228801563472,-0.239433137478822,0.98125,0.01875,0.98125,0.53379301247018
3,-1.14244894354055,-0.433927691457182,-0.652868232829736,-0.329598792829593,1,0,1,1.14244894354055
4,-0.384085322933491,-0.630582275196059,-0.725998095406091,-0.540237147949955,1,0,1,0.384085322933491
5,-0.827460475348366,-0.727118878350536,-0.958584558011515,-0.601019720840482,1,0,1,0.827460475348366
6,-2.32264338220356,-1.08750778367389,-1.40510550437021,-0.889587667040458,1,0,1,2.32264338220356
7,-0.345492776539465,-0.198117042641037,-0.406589347061737,-0.0121079363792421,0.769270833333333,0.230729166666667,0.769270833333333,0.345492776539465
8,-0.709058974803487,-0.757129436324465,-1.02768231844903,-0.537549448521582,1,0,1,0.709058974803487
9,-1.7111655922176,-0.884780162678075,-1.09772204564911,-0.746259353134845,0.999479166666667,0.000520833333333333,0.999479166666667,1.7111655922176
10,-1.30954219246523,-0.797773960397013,-1.03298068865039,-0.637505540130153,1,0,1,1.30954219246523
11,-1.37698394258019,-0.593051901776556,-0.915337951684319,-0.420191047574299,0.996354166666667,0.00364583333333333,0.996354166666667,1.37698394258019
12,-0.398088640366195,-0.241287498935537,-0.309158791139588,-0.132367990308437,0.85,0.15,0.85,0.398088640366195
13,-0.177069239512351,-0.271799824569964,-0.444131003219467,-0.198354671243,1,0,1,0.177069239512351
14,-1.76466600478818,-0.657043322484021,-0.998778987661802,-0.362162409837866,0.995833333333333,0.00416666666666667,0.995833333333333,1.76466600478818
15,-2.53446084750893,-0.734680384607712,-1.37052252092395,-0.583929319689301,1,0,1,2.53446084750893
16,-0.197005298376954,-0.268430127969237,-0.365400964544306,-0.108767083460355,0.872395833333333,0.127604166666667,0.872395833333333,0.197005298376954
17,-0.12488950299852,-0.23028086322526,-0.32925215759787,-0.157628893017751,0.992708333333333,0.00729166666666667,0.992708333333333,0.12488950299852
18,-0.484336387253913,-0.23284051991881,-0.473652173899458,-0.155907186416436,0.985416666666667,0.0145833333333333,0.985416666666667,0.484336387253913
19,-0.46607679084896,-0.471064423842103,-0.638192493462205,-0.393522775491397,1,0,1,0.46607679084896
20,-0.360028157910413,-0.453718425074618,-0.566320260464048,-0.308890894662325,0.850520833333333,0.149479166666667,0.850520833333333,0.360028157910413
21,-1.11432955202553,-0.47705800068972,-0.592395246912606,-0.358885063554282,0.98125,0.01875,0.98125,1.11432955202553
22,-0.438463740943742,-0.0779462921962038,-0.175400938001061,0.0898838858052447,0.633333333333333,0.366666666666667,0.633333333333333,0.438463740943742
23,-0.825621168351974,-0.30606457787735,-0.424359610659761,-0.243799370208741,0.966666666666667,0.0333333333333333,0.966666666666667,0.825621168351974
24,-0.340324373237063,-0.342309257968034,-0.478103498906856,-0.254600911271014,0.965625,0.034375,0.965625,0.340324373237063
25,-0.311350247189506,-0.63136334338621,-0.882369216269114,-0.390556735715611,0.9453125,0.0546875,0.9453125,0.311350247189506
26,-0.128920131479047,-0.354894592241479,-0.463706864703675,-0.263151239639575,0.966666666666667,0.0333333333333333,0.966666666666667,0.128920131479047
27,-0.727227866395839,-0.611067555645405,-0.918884596036223,-0.437606386741419,1,0,1,0.727227866395839
28,-0.104765004224301,-0.103518339274078,-0.167140018457217,-0.0254450823216001,0.794791666666667,0.205208333333333,0.794791666666667,0.104765004224301
29,-2.23420949197792,-0.772768886615494,-1.17625133295909,-0.432236191405089,1,0,1,2.23420949197792
30,-0.509835834988242,-0.502461749045772,-0.625427038743482,-0.387583665080423,0.994791666666667,0.00520833333333333,0.994791666666667,0.509835834988242
31,-0.391034762151594,-0.246553180464193,-0.647525580019733,-0.0473405875173302,0.8109375,0.1890625,0.8109375,0.391034762151594
32,-1.04727447794954,-0.227843395972587,-0.392761998093816,-0.131776773870999,0.9171875,0.0828125,0.9171875,1.04727447794954
33,-0.178520596343679,-0.187398494370216,-0.28315996772533,-0.0673330214526686,0.8515625,0.1484375,0.8515625,0.178520596343679
34,-0.600154365415464,-0.144977386620344,-0.268201132936432,0.00830429681041359,0.741145833333333,0.258854166666667,0.741145833333333,0.600154365415464
35,-1.35755287632379,-1.09847908994878,-1.50236170409696,-0.720224626119706,1,0,1,1.35755287632379
36,-0.439724969957299,0.0123066945280844,-0.314045138958556,0.133600793247051,0.476041666666667,0.523958333333333,0.476041666666667,0.439724969957299
37,-1.28465196535539,-0.592682862183588,-0.913141628621449,-0.437115034507459,0.983333333333333,0.0166666666666667,0.983333333333333,1.28465196535539
38,-1.29709048447353,-0.0393275792698111,-0.390295536847176,0.115197850875577,0.56875,0.43125,0.56875,1.29709048447353
39,0.366533365454581,0.349909860113579,0.240542005791953,0.479431693427191,0.134375,0.865625,0.865625,0.366533365454581
40,0.201757318011444,-0.0885200502203581,-0.162540285894405,0.0306014341068065,0.706770833333333,0.293229166666667,0.293229166666667,0.201757318011444
41,-0.912718709204965,-0.186670490982262,-0.298971199308645,-0.120857201315545,0.944270833333333,0.0557291666666667,0.944270833333333,0.912718709204965
42,-0.337937936386131,-0.0609860888677602,-0.280762840980477,0.0862139753077348,0.633333333333333,0.366666666666667,0.633333333333333,0.337937936386131
43,-0.365496321386423,-0.497080580924293,-0.745182633609235,-0.250896441278474,0.9046875,0.0953125,0.9046875,0.365496321386423
44,-2.09674339547643,-0.139832054093938,-0.4376594371921,0.0345037992759062,0.7015625,0.2984375,0.7015625,2.09674339547643
45,-0.343435338898412,-0.17287281296151,-0.609761897835941,0.0714163216071996,0.6828125,0.3171875,0.6828125,0.343435338898412
46,-1.6219397245482,-0.468416663232346,-0.587900544277134,-0.37307850295748,0.933333333333333,0.0666666666666667,0.933333333333333,1.6219397245482
47,-0.130209151347706,-0.0994049659334632,-0.174794009099221,0.0903263345672293,0.657291666666667,0.342708333333333,0.657291666666667,0.130209151347706
48,-0.588834757894129,-0.466473300532212,-0.602004569435656,-0.349763129812817,0.9015625,0.0984375,0.9015625,0.588834757894129
49,0.227227990680548,0.527149754563601,0.402175734367454,0.679772488934761,0.0458333333333333,0.954166666666667,0.954166666666667,0.227227990680548
50,-0.336585801244893,-0.264796611298773,-0.759770127943671,-0.0899857992681779,0.879166666666667,0.120833333333333,0.879166666666667,0.336585801244893
51,-0.53141010463754,-0.171000049540191,-0.240042507931132,-0.108790852875775,0.924479166666667,0.0755208333333333,0.924479166666667,0.53141010463754
52,-0.445980995036011,0.156075606736535,-0.0533772612279205,0.327208238527801,0.294791666666667,0.705208333333333,0.294791666666667,0.445980995036011
53,-0.391938781263516,-0.323354186012304,-0.630563227517305,-0.0975323549740728,0.807291666666667,0.192708333333333,0.807291666666667,0.391938781263516
54,-0.382679099375479,-0.110874257534696,-0.280318633732137,0.152753917781143,0.644270833333333,0.355729166666667,0.644270833333333,0.382679099375479
55,-0.217608703897387,-0.199517970229552,-0.34855754223671,-0.0904407859672374,0.8640625,0.1359375,0.8640625,0.217608703897387
56,-0.149561948357126,-0.179484331271243,-0.408984062476849,-0.0744633103725674,0.859375,0.140625,0.859375,0.149561948357126
57,-0.791039865563905,-0.67371829203617,-1.00468623033366,-0.373653893129785,0.999479166666667,0.000520833333333333,0.999479166666667,0.791039865563905
58,-0.619272903056177,-0.608285303095116,-0.884507509793292,-0.309410989402678,0.886979166666667,0.113020833333333,0.886979166666667,0.619272903056177
59,-1.22810443850818,-0.44470663891233,-0.54293665810415,-0.343434496390184,0.902604166666667,0.0973958333333333,0.902604166666667,1.22810443850818
60,-0.437375367392305,-0.296947649689821,-0.66235036431976,-0.0286220008852584,0.8109375,0.1890625,0.8109375,0.437375367392305
61,-0.264604789259894,-0.0373989680466815,-0.151644704154416,0.178533442725333,0.5734375,0.4265625,0.5734375,0.264604789259894
62,0.0119162214219968,-0.166861113894165,-0.275947024125972,-0.0382055978206045,0.797916666666667,0.202083333333333,0.202083333333333,0.0119162214219968
63,-0.139070141369924,-0.324837006495849,-0.719449254313176,-0.137431453328582,0.902604166666667,0.0973958333333333,0.902604166666667,0.139070141369924
64,-0.65488580532168,-0.282022192338423,-0.573101640392063,-0.13216218406156,0.896875,0.103125,0.896875,0.65488580532168
65,-1.47317020253371,-0.259104543912232,-0.431305665197353,-0.134926447600916,0.902604166666667,0.0973958333333333,0.902604166666667,1.47317020253371
66,-0.278845520457872,-0.092806830506406,-0.381716157896055,0.0481546319279368,0.644270833333333,0.355729166666667,0.644270833333333,0.278845520457872
67,-0.0620383091865074,-0.0516124329496995,-0.164598146999736,0.0943059381078057,0.623958333333333,0.376041666666667,0.623958333333333,0.0620383091865074
68,-1.18217254157711,-0.297206298732213,-0.446010235760625,-0.175608325843763,0.905729166666667,0.0942708333333333,0.905729166666667,1.18217254157711
69,-0.771946068976873,-0.184439659962424,-0.449612741304097,0.0407731601846597,0.7015625,0.2984375,0.7015625,0.771946068976873
70,-1.03283905831762,-0.340561378561746,-0.461172141365126,-0.24647333498263,0.925,0.075,0.925,1.03283905831762
71,-0.0181937140141036,0.124767094051816,0.0357196589509448,0.228949149922923,0.1765625,0.8234375,0.1765625,0.0181937140141036
72,-0.524864161287088,-0.379154665642308,-0.639501708394655,-0.228893244201089,0.946354166666667,0.0536458333333333,0.946354166666667,0.524864161287088
