estimator,aquifer_idx,study_area,tau_gw,median_rec,q25,q75,frac_neg,frac_pos,p_sign,bias,brackets,median_sign_ok,tau_stipulated_cm_yr
era5,0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),-0.277010179856598,-0.105954209127675,-0.219544396558135,0.0138610353931999,0.729166666666667,0.270833333333333,0.729166666666667,0.171055970728923,FALSE,TRUE,-0.3085
era5,1,Northern Guarani Aquifer (Guarani Aquifer System),-0.123926472295637,0.168432261861065,0.0248205824182729,0.298858809943249,0.2296875,0.7703125,0.2296875,0.292358734156702,FALSE,FALSE,-0.1315
era5,2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),-0.28738312471001,-0.0919443323939578,-0.256052873344791,0.0645141318296629,0.654166666666667,0.345833333333333,0.654166666666667,0.195438792316052,FALSE,TRUE,-0.3266
era5,3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),-1.0323077771439,-0.266426764305931,-0.5374836149186,-0.136799135945823,0.946875,0.053125,0.946875,0.765881012837971,FALSE,TRUE,-1.3532
era5,4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),-0.310719975778223,-0.579923016657023,-0.678905077050755,-0.481430699633588,1,0,1,-0.2692030408788,FALSE,TRUE,-0.1957
era5,5,Eastern Eromanga Basin (Great Artesian Basin),-0.866490385496745,-0.714206615520403,-0.976707084021813,-0.576851515998613,1,0,1,0.152283769976342,TRUE,TRUE,-0.8111
era5,6,Northern Eromanga Basin (Great Artesian Basin),-2.29452584545237,-1.04919116590977,-1.34978539892041,-0.881506667221667,1,0,1,1.2453346795426,FALSE,TRUE,-2.6775
era5,7,Northern High Plains (High Plains),-0.253016634810256,-0.0609055590534623,-0.265811389418815,0.117295590035292,0.608333333333333,0.391666666666667,0.608333333333333,0.192111075756794,TRUE,TRUE,-0.2914
era5,8,Williston Basin (Northern Great Plains),-0.616874212318743,-0.619530501495908,-0.923856578730641,-0.335104446830779,0.919791666666667,0.0802083333333333,0.919791666666667,-0.00265628917716432,TRUE,TRUE,-0.7239
era5,9,Central Eromanga Depocenter (Great Artesian Basin),-1.75799068421252,-0.924214779273584,-1.156015929869,-0.758431178060222,1,0,1,0.83377590493894,FALSE,TRUE,-1.9035
era5,10,Western Parecis Basin (Parecis Basin),-0.919660549852969,-0.484863223292179,-0.689959985523178,-0.354698467945785,1,0,1,0.434797326560791,FALSE,TRUE,-1.141
era5,11,Upper Gangetic Plain (Indo-Gangetic Plain),-1.40041201141126,-0.592321796794205,-0.903430000537312,-0.453836792665688,0.996875,0.003125,0.996875,0.808090214617052,FALSE,TRUE,-1.6989
era5,12,Stampriet Kalahari Karoo Aquifer System,-0.0637631813158569,0.00793022834973442,-0.11075186755131,0.181552766194351,0.478125,0.521875,0.478125,0.0716934096655913,TRUE,FALSE,-0.0788
era5,13,Northcentral Mega Aquifer System (Mega Aquifer System),-0.130407550589928,-0.372317116582693,-0.494676555012424,-0.303635923149753,1,0,1,-0.241909565992765,FALSE,TRUE,-0.1473
era5,14,Ozark Plateaus Aquifer System,-1.72916843380832,-0.554122824366408,-0.903861524649627,-0.27889465759371,0.979166666666667,0.0208333333333333,0.979166666666667,1.17504560944191,FALSE,TRUE,-2.0149
era5,15,Western Karoo Basin (Main Karoo Basin),-2.34403768902184,-0.591750723933397,-1.17421433641694,-0.44433256521651,1,0,1,1.75228696508844,FALSE,TRUE,-3
era5,16,Middle Gangetic Plain (Indo-Gangetic Plain),-0.125551843320866,-0.138190490995863,-0.243076565469926,0.00710410095081059,0.740104166666667,0.259895833333333,0.740104166666667,-0.0126386476749977,TRUE,TRUE,-0.05
era5,17,Northern Mega Aquifer System (Mega Aquifer System),-0.115528431098234,-0.227664009038024,-0.311137269831548,-0.16234652634512,0.9734375,0.0265625,0.9734375,-0.112135577939791,FALSE,TRUE,-0.1392
era5,18,Canning Basin,-0.40947757029745,-0.260856862631255,-0.40646207155636,-0.196018544724173,0.990104166666667,0.00989583333333333,0.990104166666667,0.148620707666195,FALSE,TRUE,-0.5448
era5,19,Central Karoo Basin (Main Karoo Basin),-0.203710046337612,-0.243679648006856,-0.379260588940626,-0.15450134785017,0.983333333333333,0.0166666666666667,0.983333333333333,-0.0399696016692448,TRUE,TRUE,-0.1173
era5,20,Southern Carpentaria Basin (Great Artesian Basin),-0.28941627949501,-0.447923459666721,-0.580257153106639,-0.304495894620887,0.85,0.15,0.85,-0.158507180171711,FALSE,TRUE,-0.1747
era5,21,Eastern Parecis Basin (Parecis Basin),-0.837469463576525,-0.220708525500081,-0.335845160902771,-0.104585326734243,0.902083333333333,0.0979166666666667,0.902083333333333,0.616760938076444,FALSE,TRUE,-1.0183
era5,22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),-0.33991238224853,0.26166966614669,0.183031959722597,0.339100625691917,0.0484375,0.9515625,0.0484375,0.601582048395221,FALSE,FALSE,-0.4593
era5,23,Wiso Basin (Daly-Wiso-Georgina Basins),-0.633721754525257,-0.100198246817515,-0.226063625519191,-0.0431211422962048,0.880729166666667,0.119270833333333,0.880729166666667,0.533523507707743,FALSE,TRUE,-0.8586
era5,24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),-0.100423068799875,-0.239697991744855,-0.387996426539965,-0.147559251589771,0.930208333333333,0.0697916666666667,0.930208333333333,-0.13927492294498,FALSE,TRUE,-0.0834
era5,25,Dakota Aquifer System,-0.189428682640584,-0.550583454830403,-0.79420793275397,-0.303908572261701,0.9375,0.0625,0.9375,-0.361154772189819,FALSE,TRUE,-0.2072
era5,26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),-0.0822027424402772,-0.309111399587939,-0.415649257624568,-0.213807861928331,0.936979166666667,0.0630208333333333,0.936979166666667,-0.226908657147661,FALSE,TRUE,-0.0883
era5,27,Trans Gangetic Plain (Indo-Gangetic Plain),-0.943344193847052,-0.725094718269235,-1.12701311627053,-0.536832497913687,1,0,1,0.218249475577816,TRUE,TRUE,-1.0779
era5,28,Southcentral Mega Aquifer System (Mega Aquifer System),-0.202575612193466,-0.000600877040546122,-0.0878506235209413,0.0884817407722378,0.500520833333333,0.499479166666667,0.500520833333333,0.20197473515292,FALSE,TRUE,-0.2753
era5,29,Central Mississippi Embayment (Mississippi Embayment),-2.02554252923471,-0.681458080202775,-1.09520354551852,-0.369444628419319,1,0,1,1.34408444903193,FALSE,TRUE,-2.5295
era5,30,Northern Karoo Basin (Main Karoo Basin),-0.208061309120025,-0.318789568419044,-0.420739742504735,-0.235146393045874,0.93125,0.06875,0.93125,-0.110728259299019,FALSE,TRUE,-0.0529
era5,31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),-0.18628133260784,-0.0282526231639486,-0.45718134072447,0.152605331942277,0.5390625,0.4609375,0.5390625,0.158028709443891,TRUE,TRUE,-0.2457
era5,32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),-1.02840917912348,-0.468960726844007,-0.608818422593239,-0.322027372708379,0.974479166666667,0.0255208333333333,0.974479166666667,0.559448452279473,FALSE,TRUE,-1.4324
era5,33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),-0.0643158301943879,-0.853698895237269,-0.995062649551956,-0.601317779628733,0.93125,0.06875,0.93125,-0.78938306504288,FALSE,TRUE,-0.0703
era5,34,Central Huaihe Plain (Huaihe River Basin),-0.504273229354172,0.227763202849721,0.0509486386472753,0.385924499626471,0.197916666666667,0.802083333333333,0.197916666666667,0.732036432203893,FALSE,FALSE,-0.6839
era5,35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,-1.00473079384545,-0.755586181931323,-1.17131389914304,-0.384313297108135,0.9703125,0.0296875,0.9703125,0.249144611914127,TRUE,TRUE,-1.2784
era5,36,Southern High Plains (High Plains),-0.311300787986317,0.318368008113575,0.0145389130802864,0.462881013014687,0.243229166666667,0.756770833333333,0.243229166666667,0.629668796099892,FALSE,FALSE,-0.3659
era5,37,Southcentral Karoo Basin (Main Karoo Basin),-1.1157887726878,-0.451525027622543,-0.714486970679832,-0.298290006765105,0.966666666666667,0.0333333333333333,0.966666666666667,0.66426374506526,FALSE,TRUE,-1.2077
era5,38,Central High Plains (High Plains),-1.19662847190973,0.137853567329179,-0.24110337901783,0.297833742932666,0.368229166666667,0.631770833333333,0.368229166666667,1.33448203923891,FALSE,FALSE,-1.7983
era5,39,Lower Liaohe River Plain (Liaohe River Basin),-0.0471755910833669,-0.167882930719107,-0.263390984983558,-0.0371525656840932,0.791145833333333,0.208854166666667,0.791145833333333,-0.12070733963574,TRUE,TRUE,-0.056
era5,40,Wadi As-Sirhan Basin,-0.0498452816378775,-0.0242857420928656,-0.107369681908501,0.0565656408629597,0.586979166666667,0.413020833333333,0.586979166666667,0.0255595395450119,TRUE,TRUE,-0.0744
era5,41,Eastern Saq Aquifer (Ram-Saq Aquifer System),-0.94414589323051,-0.313686591159389,-0.430917812364069,-0.245889870711166,0.95,0.05,0.95,0.630459302071122,FALSE,TRUE,-1.5162
era5,42,Trinity Aquifer System (Edwards-Trinity Aquifer System),-0.125031833316488,0.137178750178199,-0.0635908612569658,0.285777678127278,0.301041666666667,0.698958333333333,0.301041666666667,0.262210583494687,FALSE,FALSE,-0.1849
era5,43,Wisconsin Precambrian Aquifer,-0.179052329564541,-0.372076197376306,-0.654103068310968,-0.135447576117561,0.8546875,0.1453125,0.8546875,-0.193023867811765,TRUE,TRUE,-0.165
era5,44,Lafayette Area (Gulf Coast Regional Aquifer System),-1.99925379305196,-0.164010645754762,-0.438847139095411,-0.00764102721138592,0.7640625,0.2359375,0.7640625,1.8352431472972,FALSE,TRUE,-2.8342
era5,45,Paskapoo-Scollard,-0.0402741666665767,0.0739374571307727,-0.361006815727489,0.326286689184628,0.4390625,0.5609375,0.4390625,0.114211623797349,TRUE,FALSE,-0.0593
era5,46,Western Surat Basin (Great Artesian Basin),-1.58514343309429,-0.439518987779211,-0.559945109562829,-0.338610413038307,0.93125,0.06875,0.93125,1.14562444531508,FALSE,TRUE,-2.1328
era5,47,Coonamble Embayment (Great Artesian Basin),-0.20019387158101,-0.225321003411605,-0.308556288164623,-0.0263156452047443,0.767708333333333,0.232291666666667,0.767708333333333,-0.0251271318305946,TRUE,TRUE,-0.1242
era5,48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),-0.44136895627299,-0.480553156213158,-0.583981847261931,-0.349434059059588,0.8609375,0.1390625,0.8609375,-0.0391841999401686,TRUE,TRUE,-0.3873
era5,49,Wuyuer-Shuangyang System (Songnen Plain),-0.300090815923139,-0.266805120907599,-0.402504677702006,-0.104285381968273,0.842708333333333,0.157291666666667,0.842708333333333,0.0332856950155405,TRUE,TRUE,-0.4339
era5,50,Powder River Basin (Northern Great Plains),-0.289783016952721,-0.160419223322662,-0.666559757244343,0.0170906795197534,0.715104166666667,0.284895833333333,0.715104166666667,0.129363793630059,TRUE,TRUE,-0.3457
era5,51,Central Eucla Basin (Eucla Basin),-0.443680628338799,-0.0426292787444679,-0.115311078157365,0.0195978538892592,0.680208333333333,0.319791666666667,0.680208333333333,0.401051349594331,FALSE,TRUE,-0.7663
era5,52,Rio Grande Delta (Gulf Coast Regional Aquifer System),-0.145027800471938,0.472265368044187,0.224109352887367,0.632711559610827,0.0802083333333333,0.919791666666667,0.0802083333333333,0.617293168516125,FALSE,FALSE,-0.2322
era5,53,Michigan Basin,-0.0646455762359169,-0.0999288343813742,-0.40549191729963,0.134623255728165,0.6390625,0.3609375,0.6390625,-0.0352832581454573,TRUE,TRUE,-0.0935
era5,54,Southern Piedmont Upland (Piedmont Plateau),-0.367003147862189,-0.113615616594698,-0.28338198717769,0.170114174683298,0.6375,0.3625,0.6375,0.253387531267491,FALSE,TRUE,-0.5147
era5,55,Eastern Huaihe Plain (Huaihe River Basin),-0.257007617875508,-0.0562947803632532,-0.297996997557479,0.0902150820666005,0.609375,0.390625,0.609375,0.200712837512255,TRUE,TRUE,-0.0628
era5,56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),-0.109526203100072,-0.577328917006085,-0.747452905971186,-0.431035555847595,0.995833333333333,0.00416666666666667,0.995833333333333,-0.467802713906014,FALSE,TRUE,-0.1559
era5,57,Eastern Mississippi Embayment (Mississippi Embayment),-0.679399638063679,-0.586015332677655,-0.919729801334529,-0.272466637943871,0.977604166666667,0.0223958333333333,0.977604166666667,0.0933843053860237,TRUE,TRUE,-0.4862
era5,58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),-0.533572579262345,-0.571825977870805,-0.838712980811725,-0.290771952466621,0.875,0.125,0.875,-0.0382533986084597,TRUE,TRUE,-0.6461
era5,59,Southeastern System (Amadeus Basin),-1.06569585147493,-0.0920218425747192,-0.206726014492997,0.00351763602760935,0.74375,0.25625,0.74375,0.973674008900208,FALSE,TRUE,-1.6049
era5,60,Edwards Plateau (Edwards-Trinity Aquifer System),-0.0762709983541942,-0.0301306788202796,-0.388497162333249,0.228340788049146,0.527604166666667,0.472395833333333,0.527604166666667,0.0461403195339146,TRUE,TRUE,-0.0989
era5,61,Southcentral Deccan Basalt Plateau (Deccan Plateau),-0.266941214732763,-0.388354120986302,-0.560602274960096,-0.0663927075588374,0.76875,0.23125,0.76875,-0.121412906253539,TRUE,TRUE,-0.41
era5,62,Eastside Lower Indus Valley (Indus Basin),-0.197308626238934,-0.195292429378303,-0.309284480940485,-0.0637031039933429,0.819791666666667,0.180208333333333,0.819791666666667,0.00201619686063109,TRUE,TRUE,-0.2601
era5,63,Central Piedmont Upland (Piedmont Plateau),-0.045717336934691,-0.219221830838462,-0.616111185261015,-0.034971556720053,0.796354166666667,0.203645833333333,0.796354166666667,-0.173504493903771,TRUE,TRUE,-0.0664
era5,64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),-0.625986197695278,-0.393124805908144,-0.703076430018974,-0.275460239159753,0.941666666666667,0.0583333333333333,0.941666666666667,0.232861391787134,TRUE,TRUE,-0.5767
era5,65,Jiangsu Coastal Plain (Huaihe River Basin),-1.53074533852398,-0.287234527494039,-0.45352778639746,-0.155140131013443,0.913020833333333,0.0869791666666667,0.913020833333333,1.24351081102994,FALSE,TRUE,-2.3897
era5,66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),-0.13625760314877,0.0375157859059824,-0.238457912633335,0.169749895074331,0.470833333333333,0.529166666666667,0.470833333333333,0.173773389054752,TRUE,FALSE,-0.1047
era5,67,Northcentral Deccan Basalt Plateau (Deccan Plateau),-0.0880265620017594,-0.244721741927564,-0.377132910536407,-0.0680726434987039,0.817708333333333,0.182291666666667,0.817708333333333,-0.156695179925804,TRUE,TRUE,-0.1108
era5,68,Eastside Middle Indus Plain (Indus Basin),-1.39726569754714,-0.436961951331074,-0.599020282791479,-0.321417800000091,0.957291666666667,0.0427083333333333,0.957291666666667,0.960303746216063,FALSE,TRUE,-2.2576
era5,69,Central Allegheny Plateau (Appalachian Plateaus),-0.62209753501434,0.0195583791064423,-0.259706591871327,0.239146254771246,0.478645833333333,0.521354166666667,0.478645833333333,0.641655914120783,FALSE,FALSE,-0.962
era5,70,Northeastern Karoo Basin (Main Karoo Basin),-0.612016620031773,0.0547049315996166,-0.0424340473813513,0.173850603644325,0.336979166666667,0.663020833333333,0.336979166666667,0.666721551631389,FALSE,FALSE,-0.9089
era5,71,Southern Riverine Plains (Murray Basin),-0.142284495136856,-0.00846045288063887,-0.106464598985991,0.108507358799515,0.522395833333333,0.477604166666667,0.522395833333333,0.133824042256217,FALSE,TRUE,-0.2193
era5,72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),-0.468278839327796,-0.279012723809421,-0.563319183510073,-0.137837751642127,0.903125,0.096875,0.903125,0.189266115518374,TRUE,TRUE,-0.6104
gldas,0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),-0.277010179856598,-0.197995736513137,-0.311585923943597,-0.0781804919922622,0.857291666666667,0.142708333333333,0.857291666666667,0.079014443343461,TRUE,TRUE,-0.3085
gldas,1,Northern Guarani Aquifer (Guarani Aquifer System),-0.123926472295637,-0.406124170525758,-0.54973584996855,-0.275697622443574,0.998958333333333,0.00104166666666667,0.998958333333333,-0.282197698230121,FALSE,TRUE,-0.1315
gldas,2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),-0.28738312471001,-0.447252483890724,-0.611361024841557,-0.290794019667103,0.988020833333333,0.0119791666666667,0.988020833333333,-0.159869359180714,FALSE,TRUE,-0.3266
gldas,3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),-1.0323077771439,-0.468651147934922,-0.739707998547592,-0.339023519574815,1,0,1,0.563656629208979,FALSE,TRUE,-1.3532
gldas,4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),-0.310719975778223,-0.446828890533203,-0.545810950926935,-0.348336573509767,0.9953125,0.0046875,0.9953125,-0.136108914754979,FALSE,TRUE,-0.1957
gldas,5,Eastern Eromanga Basin (Great Artesian Basin),-0.866490385496745,-0.689271048510821,-0.95177151701223,-0.55191594898903,1,0,1,0.177219336985924,TRUE,TRUE,-0.8111
gldas,6,Northern Eromanga Basin (Great Artesian Basin),-2.29452584545237,-0.782983340292115,-1.08357757330276,-0.615298841604015,1,0,1,1.51154250516025,FALSE,TRUE,-2.6775
gldas,7,Northern High Plains (High Plains),-0.253016634810256,0.0384014024840422,-0.16650442788131,0.216602551572797,0.425,0.575,0.425,0.291418037294298,FALSE,FALSE,-0.2914
gldas,8,Williston Basin (Northern Great Plains),-0.616874212318743,-0.662272697710901,-0.966598774945635,-0.377846643045772,0.938541666666667,0.0614583333333333,0.938541666666667,-0.0453984853921577,TRUE,TRUE,-0.7239
