aquifer_idx,study_area,tau_true,n_recipes,median_rec,q25,q75,frac_neg,frac_pos,p_sign,bias,brackets,sign_recovered_by_median
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),0.00276059330456362,1920,-0.138266938269512,-0.228851141976457,0.0171283506323492,0.724479166666667,0.275520833333333,0.275520833333333,-0.141027531574076,TRUE,FALSE
1,Northern Guarani Aquifer (Guarani Aquifer System),-0.492162107706862,1920,-0.258039624393301,-0.337205871175918,-0.158741646807119,0.935416666666667,0.0645833333333333,0.935416666666667,0.234122483313561,FALSE,TRUE
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),0.0427454266880401,1920,0.0237880592298411,-0.0901210774181511,0.1640680865792,0.452604166666667,0.547395833333333,0.547395833333333,-0.018957367458199,TRUE,TRUE
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),-1.14244894354055,1920,-0.422008646807333,-0.547867743186113,-0.338603418275508,1,0,1,0.720440296733219,FALSE,TRUE
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),0.0274062259563179,1920,-0.232387105979174,-0.359492056597762,-0.126642251965272,0.91875,0.08125,0.08125,-0.259793331935491,FALSE,FALSE
5,Eastern Eromanga Basin (Great Artesian Basin),-0.609912605161055,1920,-0.165484704611515,-0.262831899230701,-0.0443963782521373,0.846354166666667,0.153645833333333,0.846354166666667,0.44442790054954,FALSE,TRUE
6,Northern Eromanga Basin (Great Artesian Basin),2.08465840688167,1920,0.643271099532995,0.418634590590286,1.57801224482139,0,1,1,-1.44138730734867,FALSE,TRUE
7,Northern High Plains (High Plains),0.143413153092631,1920,0.0483776253555402,-0.176182863126822,0.24419719220729,0.447395833333333,0.552604166666667,0.552604166666667,-0.0950355277370904,TRUE,TRUE
8,Williston Basin (Northern Great Plains),0.512738282653384,1920,-0.279256579882177,-0.479241679197727,0.0265274312599563,0.725,0.275,0.275,-0.791994862535561,FALSE,FALSE
9,Central Eromanga Depocenter (Great Artesian Basin),-1.412513427494,1920,-0.262947584932849,-0.531625512472587,-0.0807063176499634,0.871354166666667,0.128645833333333,0.871354166666667,1.14956584256115,FALSE,TRUE
10,Western Parecis Basin (Parecis Basin),0.475481587764205,1920,-0.153636938425176,-0.240990870335112,-0.0120066324995904,0.764583333333333,0.235416666666667,0.235416666666667,-0.629118526189381,FALSE,FALSE
11,Upper Gangetic Plain (Indo-Gangetic Plain),1.36894580339241,1920,0.310944503501057,0.13036199825036,0.688629352177984,0.0651041666666667,0.934895833333333,0.934895833333333,-1.05800129989135,FALSE,TRUE
12,Stampriet Kalahari Karoo Aquifer System,-0.268918813275594,1920,-0.185650108211152,-0.272621526605708,-0.110870735601943,0.920833333333333,0.0791666666666667,0.920833333333333,0.0832687050644418,TRUE,TRUE
13,Northcentral Mega Aquifer System (Mega Aquifer System),-0.175428454335572,1920,-0.135607407649458,-0.29301155219875,-0.0674930546660663,0.870833333333333,0.129166666666667,0.870833333333333,0.0398210466861137,TRUE,TRUE
14,Ozark Plateaus Aquifer System,-1.76466600451393,1920,-0.824241713968071,-1.21505919324181,-0.418571956495274,0.979166666666667,0.0208333333333333,0.979166666666667,0.940424290545854,FALSE,TRUE
15,Western Karoo Basin (Main Karoo Basin),2.01354965997667,1920,0.387743636697787,0.245338790676458,0.67375815703014,0,1,1,-1.62580602327888,FALSE,TRUE
16,Middle Gangetic Plain (Indo-Gangetic Plain),0.0557042554181675,1920,-0.108952422636629,-0.281565362170232,-0.0180150140421181,0.7796875,0.2203125,0.2203125,-0.164656678054797,FALSE,FALSE
17,Northern Mega Aquifer System (Mega Aquifer System),-0.123077437894968,1920,-0.156614978071835,-0.258691424698078,-0.0835607839525931,0.883854166666667,0.116145833333333,0.883854166666667,-0.033537540176867,TRUE,TRUE
18,Canning Basin,-0.484336387253913,1920,-0.178523849172656,-0.284736328928582,-0.106676828728572,0.883854166666667,0.116145833333333,0.883854166666667,0.305812538081257,FALSE,TRUE
19,Central Karoo Basin (Main Karoo Basin),-0.32470105116465,1920,0.190293019309903,0.104352825356786,0.291598554332013,0.0489583333333333,0.951041666666667,0.0489583333333333,0.514994070474554,FALSE,FALSE
20,Southern Carpentaria Basin (Great Artesian Basin),0.130336634611981,1920,0.227869822160125,0.0587369399687619,0.34051029866327,0.169270833333333,0.830729166666667,0.830729166666667,0.0975331875481439,TRUE,TRUE
21,Eastern Parecis Basin (Parecis Basin),-0.997256052380132,1920,-0.307776701346756,-0.553652019452989,-0.224100932644627,1,0,1,0.689479351033377,FALSE,TRUE
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),0.242848264625369,1920,-0.00900520432487079,-0.181040684514245,0.0906355892292014,0.532291666666667,0.467708333333333,0.467708333333333,-0.25185346895024,FALSE,FALSE
23,Wiso Basin (Daly-Wiso-Georgina Basins),-0.825621168351974,1920,-0.259322994345148,-0.396856159513378,-0.151966049941388,0.952083333333333,0.0479166666666667,0.952083333333333,0.566298174006826,FALSE,TRUE
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),-0.340323445681957,1920,-0.19056617623854,-0.327759955513556,-0.0962238019731738,0.9546875,0.0453125,0.9546875,0.149757269443417,FALSE,TRUE
25,Dakota Aquifer System,-0.232023422609019,1920,-0.41572361075818,-0.733163301262371,-0.14262327395511,0.8875,0.1125,0.8875,-0.18370018814916,TRUE,TRUE
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),0.0367016693249763,1920,-0.101969580534085,-0.181768476590291,0.029120715079107,0.722395833333333,0.277604166666667,0.277604166666667,-0.138671249859061,FALSE,FALSE
27,Trans Gangetic Plain (Indo-Gangetic Plain),-0.56430340558999,1920,0.0397392370355905,-0.0628470073349507,0.180157927888004,0.407291666666667,0.592708333333333,0.407291666666667,0.604042642625581,FALSE,FALSE
