Study_area,abs_GRACE_trend,dominance_R,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,abs_trend_m_yr,ai_mean,ai_std,n_pixels,climate_zone,is_anchor,anchor_short
Edwards Plateau (Edwards-Trinity Aquifer System),2.08102179434014,0.410972065134769,58050,-100.806673362206,30.719893615846,342,0.02,N America,stable,other (new),0.02,0.278421504611398,0.0646238297349393,78718,semi-arid,FALSE,
Jiangsu Coastal Plain (Huaihe River Basin),0.658690342410923,0.340207002511196,56925,119.806013738276,33.4158651688567,28,0.01,E Asia,stable,other (new),0.01,0.820833220036003,0.164865459814796,79437,humid,FALSE,
Lafayette Area (Gulf Coast Regional Aquifer System),1.3253710212074,0.515028370288124,65824,-93.1101116190547,30.6290250495996,431,-0.04,N America,stable,other (new),0.04,1.07845274472642,0.149689461996716,89171,humid,FALSE,
Lower Liaohe River Plain (Liaohe River Basin),1.85844358219785,0.404731943026353,69968,122.803337299554,42.4270318660877,25,0,E Asia,stable,other (new),0,0.505358722396618,0.0961545922292272,110222,dry sub-humid,FALSE,
Michigan Basin,4.29339160626728,0.756186945685164,62295,-84.6779367319877,43.45201354931,56,-0.02,N America,stable,other (new),0.02,0.917717626126442,0.0535765726666394,99761,humid,FALSE,
Middle Gangetic Plain (Indo-Gangetic Plain),0.0504982261815401,9.91842186806321,145648,84.782614957168,26.1358040659066,101,0.05,S Asia,stable,IGP,0.05,0.807758476035537,0.212723508989699,189322,humid,TRUE,IGP Middle
Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),1.13093335103659,0.497795317102282,64955,149.642192481831,-27.1998727733948,217,0,Oceania,stable,other (new),0,0.337433397488558,0.0363460450941308,85210,semi-arid,FALSE,
Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),2.23480051392326,0.371717447486119,87887,-91.9686784194515,41.7323216691694,91,0.03,N America,stable,other (new),0.03,0.862367458671652,0.0381656455494566,136952,humid,FALSE,
Northcentral Deccan Basalt Plateau (Deccan Plateau),2.18604100878576,0.326291719720863,53372,75.6844979683893,19.584477954344,48,0.23,S Asia,deepening,other (new),0.23,0.403596386525412,0.13362320303411,66169,semi-arid,FALSE,
Northcentral Mega Aquifer System (Mega Aquifer System),0.658889745442265,0.782589234492476,179365,47.2340267976724,27.9285364941961,1,0.2,Mid East,deepening,other (new),0.2,0.0480167827562625,0.0138244806943237,236886,arid,FALSE,
