Study_area,area_km2,n_waterbodies,n_reservoirs,vol_total_km3,vol_reservoir_km3,stock_ewh_cm,bound_cmyr
Canning Basin,130597,69,0,0.18988,0,0.145393845187868,0.00898812239528796
Trans Gangetic Plain (Indo-Gangetic Plain),100322,74,2,0.13268,0.0883,0.132254141663842,0.00817583723040264
Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),64955,54,1,0.04925,0.0098,0.0758217227311215,0.00468723365317374
Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),81429,82,0,0.05877,0,0.0721733043510297,0.0044616915684513
Northern Eromanga Basin (Great Artesian Basin),281571,122,0,0.18566,0,0.0659371881337211,0.00407618023019634
Northcentral Mega Aquifer System (Mega Aquifer System),179365,17,0,0.10404,0,0.0580046274356759,0.00358579615396564
Western Parecis Basin (Parecis Basin),213494,64,0,0.06022,0,0.0282068816922255,0.00174372515364416
Northern Mega Aquifer System (Mega Aquifer System),143434,6,0,0.02306,0,0.0160770807479398,0.000993871297197582
Northern Georgina Basin (Daly-Wiso-Georgina Basins),116661,14,0,0.01652,0,0.0141606878048362,0.000875401534548245
Southcentral Mega Aquifer System (Mega Aquifer System),89916,8,0,0.01016,0,0.0112994350282486,0.000698521350063151
Wadi As-Sirhan Basin,68037,1,0,0.00674,0,0.00990637447271338,0.000612403545275613
Wiso Basin (Daly-Wiso-Georgina Basins),116966,5,0,0.00182,0,0.00155600772874169,9.61910588159566e-05
Eastern Saq Aquifer (Ram-Saq Aquifer System),67601,0,0,0,0,0,0
